,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.26,0.91,0.88,0.96,0.82,0.67,0.72,0.72,0.56,0.62,0.63,0.53,0.45,0.56,0.48
e_1,0.8,1.0,1.13,0.96,0.89,0.84,0.69,0.66,0.87,0.64,0.72,0.63,0.63,0.63,0.57,0.58
c_1,1.1,0.89,1.0,1.03,1.22,0.69,0.72,0.75,0.49,0.61,0.62,0.46,0.69,0.66,0.53,0.69
d_1,1.14,1.04,0.97,1.0,1.06,0.68,0.73,0.55,0.77,0.94,0.58,0.57,0.64,0.56,0.46,0.49
b_1,1.04,1.13,0.82,0.94,1.0,1.42,0.81,0.68,0.71,0.81,0.64,0.67,0.6,0.59,0.63,0.56
a_1,1.22,1.19,1.44,1.48,0.7,1.0,0.79,0.84,0.71,0.68,0.82,0.96,0.77,0.9,0.64,0.6
h_1,1.49,1.43,1.4,1.38,1.26,1.3,1.0,1.19,0.88,0.89,1.07,0.89,0.76,0.91,0.7,0.99
g_1,1.44,1.41,1.33,1.9,1.42,1.17,0.83,1.0,0.95,0.93,1.35,1.0,0.66,0.71,0.9,1.02
d_0,1.42,1.15,2.03,1.29,1.51,1.47,1.13,0.98,1.0,0.86,0.98,0.95,0.87,0.87,1.1,0.97
c_0,1.82,1.55,1.74,1.13,1.27,1.55,1.14,1.1,1.12,1.0,1.08,1.45,1.04,0.82,1.02,1.06
f_0,1.51,1.33,1.64,1.68,1.59,1.25,0.95,0.72,1.05,0.91,1.0,1.18,1.0,1.11,0.85,0.69
b_0,1.68,1.55,2.21,1.69,1.34,1.02,1.15,1.04,1.04,0.64,0.82,1.0,1.04,0.73,1.42,0.88
h_0,1.9,1.51,1.56,1.58,1.65,1.3,1.3,1.48,1.11,0.94,1.0,0.93,1.0,1.01,1.0,1.14
e_0,2.37,1.47,1.53,1.86,1.57,1.06,1.12,1.39,1.02,1.18,0.79,1.52,0.96,1.0,1.12,0.94
a_0,1.74,1.66,2.01,2.15,1.49,1.43,1.42,1.03,0.85,1.08,1.13,0.75,0.97,0.83,1.0,1.1
g_0,1.99,1.65,1.5,1.98,1.74,1.62,1.02,0.98,1.08,0.91,1.37,1.14,0.86,1.07,0.9,1.0
