,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,9345.84,2362.58,1169.99,1489.78,3215.5,20934.65,1141888.5,4051613.77,3542700.02,5151507.97,12750260.88,2557355.34,53133448.32,43691568.78,82026868.87,54739634.79
e_1,1119.7,12600.67,1049.53,1811.25,3275.43,11863.75,1273614.42,5149764.95,3820103.14,10983829.43,10803596.45,13958231.89,55010910.24,45876902.45,83890036.43,28796875.62
d_1,995.58,1133.25,14005.64,1643.61,4304.24,13869.73,1442120.66,8398334.66,3680639.48,1125282.9,9699911.4,12082456.86,42282783.86,41526176.65,83421784.73,100131542.77
c_1,1045.63,981.71,1538.27,17723.1,7037.6,19504.97,1341653.93,1030518.59,3366877.93,5886095.15,8597298.96,11700295.68,48565834.34,31668621.97,93354625.44,80017161.28
b_1,929.76,1101.71,1623.65,1977.54,47590.89,34621.38,1265435.44,4515107.43,3649246.98,5623090.16,2666226.32,11498579.78,42628285.73,45050992.63,62514278.29,66904410.18
a_1,762.18,1314.02,1384.08,1925.49,3258.96,354763.35,1345967.49,4997149.55,5037126.68,6587748.87,10776600.0,12835270.49,48555196.83,10630715.23,62051873.25,77073609.76
h_1,2243.57,2079.47,2772.35,2454.55,5804.86,36761.08,8052815.92,7242182.53,9322497.61,9084475.61,21729357.15,21503037.78,30629446.52,67015806.93,199020614.85,135727739.67
c_0,2131.04,2109.96,2311.38,1507.04,5443.43,27861.73,2362423.96,22024139.37,9789163.77,12052064.06,41450221.17,28274698.25,88081223.93,88593054.58,133280424.68,171059399.91
g_1,1650.75,2074.28,3565.33,2871.08,5972.52,26966.24,1614846.45,6743434.18,35791159.4,7063314.18,17924125.96,32232277.22,62398593.38,64915119.14,42759479.26,136463553.05
d_0,1937.64,2052.29,648.9,5358.25,5846.08,23073.35,2572672.04,6347779.2,7984799.76,28754870.47,22962855.14,22666371.17,70639917.03,90862528.33,186721282.35,178043575.84
b_0,2334.86,2390.57,2238.51,3343.65,1702.43,29116.37,1724538.4,8450418.78,8923908.97,10651029.31,65216890.21,29922931.02,85712353.54,196559755.16,161967724.46,162456610.78
f_0,662.72,1735.31,2670.52,3681.17,7235.28,35446.01,2392730.9,8940031.89,7913408.56,11861204.96,19852595.64,75939627.49,82569027.15,102305203.38,148067280.81,356760284.3
h_0,2897.35,2058.87,2430.33,3057.28,4316.69,29255.68,553924.6,7864651.11,10343170.72,10251381.02,18450773.23,20692553.2,34334154.25,79000092.98,157162940.29,112874515.79
a_0,1811.78,1816.09,3732.43,3144.93,5368.9,,2153864.97,7749492.57,6206496.36,12061171.71,16960631.61,27316784.27,103191472.25,315240537.56,130578630.57,175559246.88
g_0,1375.51,2054.71,3804.29,2794.05,6477.01,25827.74,2083651.74,7785210.19,3781053.27,10329043.0,17629945.8,38124461.65,77353628.15,68227353.03,62645367.81,140374852.36
e_0,1997.87,770.69,2985.08,3390.89,8160.9,36504.1,1935263.75,11190498.6,5940768.32,11877612.89,17633994.0,29261946.87,87544295.18,52024771.02,135762797.1,647866026.73
