,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,1.51,1.16,1.44,3.6,23.04,37.19,29.5,34.48,47.42,59.72,85.35,91.8,116.68,136.85
f_1,1.23,1.0,1.06,1.07,1.25,3.61,15.16,24.61,28.91,34.19,44.03,41.81,69.46,64.28,89.91,120.43
c_1,0.66,0.94,1.0,1.23,1.35,2.65,16.77,15.38,24.11,28.26,32.9,40.72,57.49,71.81,94.88,99.52
d_1,0.86,0.94,0.8,1.0,1.11,2.69,16.75,20.84,32.39,25.89,41.47,42.9,67.59,71.2,93.0,74.53
b_1,0.69,0.8,0.74,0.89,1.0,3.34,14.79,18.46,24.9,24.55,28.6,33.41,53.77,62.42,81.17,92.67
a_1,0.28,0.28,0.38,0.37,0.3,1.0,6.35,8.39,8.92,11.0,13.16,13.98,26.82,26.03,37.19,41.34
h_1,0.05,0.07,0.06,0.06,0.07,0.15,1.0,1.38,1.54,2.23,2.38,2.53,4.07,4.65,5.41,6.78
d_0,0.03,0.04,0.07,0.05,0.06,0.12,0.71,1.0,1.12,1.6,1.52,1.71,2.88,3.18,3.85,4.65
c_0,0.03,0.04,0.04,0.03,0.04,0.11,0.64,0.89,1.0,1.24,1.9,1.7,2.5,2.6,2.93,3.51
g_1,0.03,0.03,0.04,0.04,0.04,0.09,0.44,0.62,0.85,1.0,1.18,1.74,2.41,1.98,3.29,3.06
b_0,0.02,0.02,0.03,0.02,0.03,0.08,0.43,0.66,0.55,0.83,1.0,1.07,2.52,1.68,2.48,2.76
f_0,0.02,0.02,0.03,0.02,0.03,0.07,0.43,0.55,0.59,0.56,0.96,1.0,1.72,1.98,3.14,1.78
a_0,0.01,0.01,0.02,0.01,0.02,0.04,0.25,0.35,0.39,0.41,0.41,0.58,1.0,1.09,1.44,1.4
h_0,0.01,0.02,0.01,0.01,0.02,0.04,0.21,0.3,0.39,0.5,0.56,0.51,0.91,1.0,1.26,1.65
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.25,0.33,0.31,0.43,0.32,0.73,0.79,1.0,1.13
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.21,0.29,0.35,0.34,0.53,0.69,0.59,0.88,1.0
