,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.9,0.56,0.29,0.3,0.25,0.16,0.21,0.32,0.27,0.17,0.22,0.11,0.26,0.16,0.09,0.18
e_1,0.38,0.91,0.25,0.37,0.27,0.18,0.29,0.5,0.23,0.19,0.24,0.21,0.28,0.2,0.11,0.22
d_1,0.4,0.3,0.91,0.24,0.25,0.21,0.25,0.17,0.54,0.18,0.32,0.24,0.31,0.18,0.17,0.23
c_1,0.35,0.33,0.26,0.9,0.5,0.19,0.26,0.24,0.19,0.19,0.14,0.2,0.23,0.15,0.18,0.19
b_1,0.3,0.29,0.31,0.29,0.9,0.42,0.28,0.29,0.24,0.22,0.15,0.21,0.29,0.12,0.14,0.2
a_1,0.35,0.29,0.34,0.3,0.3,0.88,0.32,0.32,0.29,0.23,0.26,0.26,0.31,0.09,0.19,0.27
h_1,0.51,0.34,0.39,0.35,0.25,0.18,0.61,0.29,0.31,0.28,0.26,0.22,0.21,0.16,0.17,0.32
d_0,0.37,0.35,0.23,0.63,0.34,0.17,0.29,0.49,0.18,0.21,0.24,0.22,0.29,0.16,0.16,0.2
c_0,0.41,0.39,0.38,0.21,0.26,0.22,0.32,0.32,0.52,0.24,0.53,0.22,0.33,0.22,0.21,0.28
g_1,0.31,0.32,0.58,0.34,0.28,0.18,0.28,0.28,0.31,0.57,0.26,0.38,0.33,0.17,0.2,0.19
b_0,0.45,0.4,0.4,0.34,0.18,0.16,0.29,0.29,0.31,0.25,0.52,0.25,0.33,0.4,0.22,0.25
f_0,0.3,0.3,0.42,0.35,0.33,0.22,0.32,0.31,0.34,0.24,0.31,0.48,0.35,0.19,0.4,0.25
h_0,0.49,0.35,0.39,0.33,0.3,0.2,0.23,0.31,0.33,0.27,0.27,0.24,0.18,0.17,0.16,0.32
a_0,0.39,0.35,0.44,0.36,0.29,0.1,0.28,0.33,0.36,0.25,0.33,0.29,0.33,0.42,0.19,0.3
e_0,0.39,0.23,0.38,0.36,0.37,0.23,0.3,0.29,0.36,0.24,0.32,0.27,0.41,0.18,0.44,0.25
g_0,0.31,0.3,0.55,0.33,0.3,0.2,0.31,0.32,0.31,0.2,0.27,0.43,0.3,0.21,0.19,0.18
