,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.1,1.89,3.0,3.08,3.03,3.28,0.85,0.94,0.71,0.67,0.71,0.85,0.66,0.47,0.51,1.01
f_1,2.68,1.11,2.77,2.91,3.06,2.75,0.68,1.18,0.69,0.59,0.59,0.95,0.6,0.31,0.48,0.52
d_1,4.03,3.07,1.1,3.28,3.13,3.14,0.91,0.56,0.92,0.57,0.64,0.57,0.52,0.42,0.31,0.55
c_1,2.91,3.29,3.97,1.11,3.32,2.62,0.92,0.89,0.42,1.03,0.71,0.6,0.71,0.48,0.54,0.57
b_1,4.31,4.51,4.09,2.29,1.11,4.21,1.13,1.19,0.9,1.18,1.51,0.92,0.94,0.61,0.56,0.71
a_1,7.57,6.11,5.65,7.15,3.07,1.13,2.37,1.59,1.42,1.22,1.43,1.27,2.13,0.92,1.06,1.1
h_1,10.66,10.34,10.9,10.93,12.74,8.87,1.61,2.87,2.41,2.59,2.46,1.99,2.11,2.16,1.53,1.91
g_1,13.02,14.95,11.86,13.14,13.5,10.46,2.83,1.66,2.95,2.7,2.67,2.22,2.61,1.59,1.99,2.56
d_0,8.39,14.18,23.38,14.95,16.88,13.3,4.9,5.35,2.02,3.31,3.33,3.15,3.5,2.43,2.18,2.92
c_0,13.91,18.31,8.15,24.96,15.89,14.95,4.28,4.11,5.11,1.94,3.24,2.95,3.06,2.46,1.81,3.0
b_0,14.69,14.77,12.71,20.41,25.48,14.13,4.62,4.77,3.7,1.84,1.92,3.36,3.11,2.28,2.24,3.3
f_0,15.12,27.6,17.01,16.64,17.54,15.59,5.08,2.84,3.32,3.0,3.49,1.96,3.22,2.76,1.45,3.33
a_0,21.9,22.01,20.78,21.78,25.48,28.71,5.99,7.09,5.32,3.79,2.65,4.13,2.26,2.91,2.87,4.18
h_0,21.14,23.45,19.92,21.49,21.44,16.75,7.89,6.83,5.15,4.4,4.32,3.99,4.56,4.61,3.05,4.29
g_0,27.5,26.19,30.33,27.04,30.01,27.0,6.63,10.33,5.88,6.18,5.61,6.0,4.81,3.36,4.94,4.71
e_0,31.26,43.76,30.06,27.04,25.48,22.33,7.42,6.53,5.23,6.42,5.94,2.91,5.48,4.12,3.57,2.44
