,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.72,0.81,1.19,0.7,0.8,0.71,0.93,0.95,0.91,0.97,1.03,0.59,1.05,0.98,0.75,0.92
c_1,0.79,1.88,0.75,1.33,0.83,0.74,0.86,0.89,0.56,0.95,0.62,0.93,0.8,0.96,0.98,0.93
e_1,0.91,1.0,1.87,0.79,0.67,0.67,1.06,1.58,0.92,0.89,1.01,0.93,1.02,1.0,0.6,0.95
b_1,0.83,0.78,0.72,1.95,0.84,1.4,0.96,0.85,0.86,0.95,0.71,0.95,0.71,0.88,1.08,0.9
d_1,0.77,0.65,0.82,0.74,2.12,0.83,0.96,0.69,1.69,0.95,1.29,1.23,1.13,0.98,1.11,1.1
a_1,0.88,0.8,0.84,0.74,0.85,2.77,1.03,0.88,0.98,0.96,0.97,1.11,0.67,1.0,1.08,1.12
h_1,1.07,0.99,0.88,0.8,0.92,0.77,1.83,0.96,0.97,1.31,1.04,1.03,0.97,0.9,0.95,1.27
d_0,0.92,1.43,0.76,1.06,0.62,0.58,0.97,1.4,0.74,0.96,0.82,1.03,0.95,1.17,1.21,1.03
c_0,0.91,0.73,0.9,0.69,0.99,0.84,1.14,1.02,1.67,0.99,1.94,1.25,1.59,1.24,1.22,1.1
g_1,0.84,0.84,0.82,0.78,1.35,0.68,0.82,0.89,1.16,2.1,1.05,1.48,1.14,1.09,1.09,0.87
b_0,1.04,0.98,0.81,0.62,0.93,0.68,1.11,1.07,1.17,1.1,1.76,1.14,2.29,1.18,1.16,1.15
f_0,0.86,0.95,0.75,0.87,0.93,0.92,1.07,1.08,1.16,0.98,1.16,1.81,1.12,1.17,2.03,1.07
a_0,1.05,0.97,0.91,0.89,0.81,0.67,1.13,1.14,0.92,1.17,1.22,1.07,2.05,1.25,1.19,0.94
h_0,1.17,0.89,0.75,0.86,0.95,0.78,0.74,1.0,0.89,1.26,1.13,0.96,1.16,0.9,1.1,1.26
e_0,1.05,0.93,0.69,0.85,0.97,0.82,1.16,0.9,1.02,0.96,1.12,1.02,1.09,1.2,2.16,1.22
g_0,0.8,0.85,0.67,0.81,1.27,0.93,1.08,0.95,1.19,0.83,1.22,1.58,1.04,1.2,1.5,0.93
