,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.62,0.52,0.65,0.79,0.64,0.62,0.89,0.76,1.79,0.93,1.03,0.99,0.95,0.95,0.56,0.93
d_1,0.64,2.75,0.71,0.51,0.61,0.61,1.01,0.93,0.45,1.68,1.12,1.05,0.83,1.1,0.96,1.02
f_1,1.1,0.59,2.65,0.69,0.61,0.53,0.7,0.77,0.79,0.89,0.93,0.54,1.03,1.01,0.82,1.02
c_1,0.63,0.66,0.74,2.85,1.17,0.45,0.79,0.86,0.88,0.35,0.6,0.7,0.98,0.98,0.94,0.81
b_1,0.6,0.66,0.64,0.62,3.04,1.32,1.03,0.89,0.87,0.79,0.35,0.76,0.86,0.62,0.8,0.87
a_1,0.66,0.81,0.6,0.64,0.6,4.3,0.9,1.05,0.84,0.91,1.09,1.27,1.08,0.43,0.96,1.13
h_1,0.74,0.76,1.12,0.8,0.64,0.82,2.79,1.46,1.05,1.15,1.24,1.0,0.76,1.11,1.04,1.39
g_1,0.63,1.3,0.8,0.78,0.75,0.6,1.13,2.95,0.82,1.29,1.18,1.7,1.13,0.91,1.19,0.76
d_0,0.66,0.54,0.82,1.67,0.75,0.63,1.09,1.08,1.97,0.87,1.17,1.17,1.21,1.03,1.36,1.12
c_0,0.76,0.94,0.8,0.5,0.62,0.84,1.21,1.21,1.01,2.04,2.36,1.35,1.27,1.25,1.43,1.09
b_0,0.69,0.97,0.85,0.87,0.47,0.73,1.15,1.27,1.08,1.1,2.33,1.42,1.25,2.36,1.28,1.14
f_0,0.65,0.94,0.56,0.9,0.67,0.83,1.25,1.21,1.24,1.06,1.13,2.45,1.54,1.12,2.98,1.27
h_0,0.67,0.95,1.19,0.88,0.77,0.61,0.72,1.38,1.09,0.94,1.23,1.04,0.75,1.12,1.25,1.57
a_0,0.73,0.75,0.85,0.93,0.81,0.46,1.4,1.34,1.1,1.06,1.44,1.58,1.38,2.81,1.51,1.23
e_0,0.46,1.12,0.96,0.93,0.66,0.58,1.33,1.01,1.22,1.14,1.33,1.24,1.58,1.4,3.27,1.23
g_0,0.69,1.2,0.79,0.85,0.67,0.7,1.04,0.69,0.95,1.09,1.26,1.93,1.21,1.38,1.27,0.74
