,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.15,1.09,1.05,1.62,3.24,20.65,20.58,23.48,41.24,41.19,38.57,56.44,90.35,77.41,70.51
e_1,0.87,1.0,0.76,1.21,1.7,2.91,21.91,35.49,32.69,29.02,43.36,43.55,68.26,76.63,129.29,90.08
f_1,0.92,1.32,1.0,1.09,1.42,3.38,14.83,24.55,33.31,24.65,29.27,34.62,41.94,66.01,58.32,67.91
c_1,0.95,0.83,0.92,1.0,1.88,2.38,15.06,15.76,24.85,25.87,30.52,28.77,65.94,61.98,61.31,95.61
b_1,0.62,0.59,0.7,0.53,1.0,2.23,13.26,13.18,15.96,19.57,20.24,20.28,37.23,44.26,52.47,56.35
a_1,0.31,0.34,0.3,0.42,0.45,1.0,8.39,9.72,10.9,11.4,15.13,15.46,27.29,30.4,36.5,29.73
h_1,0.05,0.04,0.07,0.07,0.07,0.11,1.0,1.33,2.08,1.35,1.85,1.93,3.97,3.58,4.05,4.67
d_0,0.05,0.03,0.04,0.07,0.07,0.1,0.75,1.0,0.89,0.91,1.34,1.36,2.36,2.37,2.78,3.54
g_1,0.04,0.03,0.03,0.04,0.06,0.09,0.49,1.11,1.0,0.98,1.52,1.43,2.06,3.65,3.43,2.04
c_0,0.02,0.03,0.04,0.04,0.05,0.08,0.81,1.12,0.99,1.0,1.52,2.25,2.74,2.85,3.36,3.8
f_0,0.02,0.02,0.04,0.03,0.05,0.07,0.53,0.71,0.72,0.67,1.0,1.05,1.92,1.8,2.85,1.61
b_0,0.03,0.02,0.03,0.04,0.04,0.06,0.5,0.76,0.66,0.48,1.0,1.0,1.81,3.03,2.26,1.84
h_0,0.02,0.01,0.02,0.02,0.03,0.03,0.24,0.41,0.48,0.35,0.52,0.56,1.0,1.19,1.18,1.34
a_0,0.01,0.01,0.02,0.02,0.02,,0.29,0.39,0.26,0.36,0.59,0.34,0.89,1.0,1.25,1.02
e_0,0.01,0.01,0.02,0.02,0.02,0.03,0.25,0.37,0.27,0.31,0.33,0.47,0.78,0.8,1.0,1.11
g_0,0.01,0.01,0.02,0.01,0.02,0.03,0.22,0.29,0.5,0.29,0.62,0.53,0.74,1.02,0.91,1.0
