,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.07,9.0,5.93,12.2,7.94,8.98,3.58,3.31,2.86,2.64,2.99,3.14,2.34,2.28,,1.95
d_1,11.99,1.07,9.49,9.2,11.57,8.73,3.78,2.08,2.92,,2.46,2.19,2.83,2.15,2.72,1.24
f_1,11.05,10.51,1.07,7.79,9.67,8.41,3.2,3.67,2.82,2.76,,2.48,1.45,2.57,2.13,2.4
c_1,9.17,11.31,12.7,1.07,14.99,8.31,3.0,4.74,,1.65,3.16,2.33,2.33,2.98,3.15,2.15
b_1,12.82,10.72,10.78,5.39,1.07,10.85,4.21,3.25,3.31,2.9,2.93,,2.29,3.59,,2.49
a_1,12.62,11.51,16.85,13.36,7.84,1.07,5.01,5.91,4.29,4.76,,5.19,3.85,,2.64,3.27
h_1,13.8,14.0,13.36,13.51,11.5,13.96,1.41,4.55,3.63,3.37,3.87,4.2,,2.98,2.75,3.5
g_1,16.36,18.99,14.88,20.8,17.21,12.31,5.5,1.41,4.5,6.94,4.07,4.46,2.1,4.74,3.56,
c_0,14.59,9.08,15.28,,17.11,14.69,5.48,5.47,1.69,6.68,3.94,4.41,2.44,4.57,4.46,3.69
d_0,10.19,,13.81,17.14,14.98,11.41,6.49,5.29,4.12,1.73,5.0,5.37,3.18,4.08,2.92,3.18
f_0,14.38,16.47,,14.07,16.42,,6.2,4.64,5.14,4.56,1.72,5.35,4.47,,5.83,2.72
b_0,16.27,19.57,18.14,28.99,,13.31,5.77,5.22,3.46,4.79,5.38,1.75,5.53,6.42,4.21,2.57
h_0,16.51,13.83,18.7,15.57,12.75,17.2,,10.18,7.55,4.77,4.21,3.4,,3.5,3.95,4.11
a_0,24.56,26.82,20.44,20.03,19.61,,9.29,8.54,5.58,6.96,,2.96,4.92,1.73,,5.03
e_0,,19.19,27.75,21.93,,17.28,11.86,8.54,5.97,8.46,3.04,8.07,4.72,,1.71,4.6
g_0,24.98,25.63,18.8,17.45,16.91,14.08,4.71,,5.67,6.79,6.12,6.85,3.15,3.86,5.07,
