,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.68,3.16,5.26,5.83,5.55,5.11,2.45,2.65,2.78,2.24,1.93,2.32,1.52,1.72,2.35,
f_1,8.5,0.67,5.66,6.55,4.53,5.96,1.76,2.21,2.29,1.92,2.16,,1.21,1.98,1.23,2.15
d_1,5.97,5.89,0.65,6.03,5.52,5.8,2.65,1.85,,2.53,2.14,1.94,1.69,2.41,1.18,2.19
c_1,7.19,6.78,6.26,0.65,8.52,5.03,2.74,2.77,1.3,,1.98,1.92,1.93,1.84,1.47,1.81
b_1,5.89,7.24,7.02,3.61,0.62,6.71,3.27,3.23,1.86,2.54,,3.2,1.57,2.22,2.01,2.03
a_1,8.48,6.24,6.63,8.2,4.44,0.57,4.5,2.69,2.59,3.05,3.15,2.99,2.81,,,
h_1,5.66,6.19,4.52,4.3,4.77,4.21,0.61,2.01,2.0,1.67,1.4,1.99,,2.07,1.45,1.47
g_1,5.92,7.02,5.86,5.09,4.21,5.51,1.79,0.59,2.29,1.83,1.9,2.15,1.36,1.81,,1.88
d_0,2.89,4.76,,4.85,6.18,4.43,1.83,2.7,0.72,1.58,2.07,1.38,1.72,1.49,1.67,1.28
c_0,4.22,5.09,3.14,,4.51,4.37,2.28,2.94,1.88,0.69,2.3,1.33,1.52,1.38,1.73,1.64
b_0,5.04,4.93,6.39,5.96,,5.31,2.36,1.99,1.9,1.18,0.68,1.96,1.53,2.54,1.16,1.46
f_0,5.31,,5.18,5.29,3.65,3.91,2.58,1.7,2.34,3.16,1.63,0.65,1.63,1.6,1.1,1.86
h_0,5.6,5.0,4.31,3.96,5.37,3.65,,1.82,1.51,1.51,1.58,1.51,,1.72,1.33,1.54
a_0,6.73,5.91,6.22,5.87,7.55,,2.57,2.82,1.87,3.03,1.21,2.49,1.94,0.61,2.04,
g_0,4.21,5.83,5.41,6.07,6.09,,2.42,,1.72,1.45,2.25,2.47,0.92,1.45,,1.62
e_0,,6.89,7.61,6.95,5.95,,2.52,3.08,2.39,2.09,2.32,1.4,1.89,,1.47,0.61
