,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.96,0.97,0.95,1.37,0.5,0.58,0.49,0.31,0.31,0.46,0.34,0.36,0.32,0.27,0.29
f_1,1.04,1.0,1.07,1.3,0.81,0.63,0.41,0.55,0.38,0.39,0.3,0.37,0.29,0.22,0.3,0.34
d_1,1.03,0.94,1.0,0.98,1.06,0.74,0.51,0.38,0.47,0.57,0.38,0.44,0.37,0.39,0.3,0.25
e_1,1.05,0.77,1.02,1.0,0.96,0.82,0.5,0.45,0.62,0.41,0.42,0.39,0.4,0.48,0.31,0.37
b_1,0.73,1.23,0.95,1.04,1.0,1.26,0.68,0.5,0.54,0.49,0.4,0.45,0.33,0.34,0.38,0.31
a_1,2.02,1.59,1.34,1.21,0.79,1.0,0.58,0.68,0.6,0.59,0.46,0.55,0.46,0.55,0.38,0.47
h_1,1.77,2.44,1.93,1.97,1.48,1.64,1.0,0.98,0.93,0.87,0.81,0.88,0.71,0.47,0.62,0.78
g_1,2.09,1.87,2.6,2.05,2.01,1.42,1.05,1.0,0.89,0.88,1.19,0.78,0.57,0.84,0.87,0.7
d_0,3.33,2.74,2.17,1.55,1.95,1.51,1.08,1.08,1.0,0.85,1.03,0.81,0.71,0.76,0.78,0.75
c_0,3.17,2.62,1.84,2.35,1.99,1.74,1.21,1.11,1.12,1.0,0.97,1.32,0.91,0.95,1.02,0.93
f_0,2.33,3.02,2.71,2.33,2.42,2.22,1.15,0.86,1.1,1.04,1.0,1.11,0.88,1.17,1.02,0.72
b_0,2.77,2.81,2.29,2.52,2.29,1.85,1.15,1.32,1.15,0.78,0.84,1.0,0.92,0.87,1.58,0.83
h_0,2.83,3.51,2.91,2.55,2.83,2.26,1.43,1.78,1.39,1.15,1.27,1.05,1.0,0.88,1.09,1.09
e_0,3.08,4.82,2.53,,3.04,1.82,1.88,1.13,1.2,0.99,0.88,1.17,1.3,1.0,1.02,1.07
a_0,3.77,3.14,3.48,2.91,2.69,,1.59,1.18,1.26,0.95,1.01,0.62,0.91,0.86,1.0,1.08
g_0,3.35,2.98,3.95,2.53,3.21,1.99,1.28,1.37,1.31,1.08,1.44,1.13,0.93,0.89,0.94,1.0
