,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.44,0.07,0.07,0.08,0.09,0.06,0.3,0.73,0.3,0.33,0.4,0.35,0.27,0.57,,0.72
f_1,0.14,5.75,0.08,0.07,0.08,0.06,0.3,0.35,0.29,0.47,0.38,,0.45,0.62,0.24,0.44
d_1,0.07,0.07,6.18,0.07,0.08,0.07,0.36,,0.27,0.75,0.37,0.38,0.36,0.63,0.55,0.63
c_1,0.07,0.07,0.06,6.48,0.13,0.11,0.25,0.42,0.25,,0.33,0.31,0.4,0.7,0.43,0.86
b_1,0.07,0.09,0.1,0.08,7.48,0.15,0.32,0.42,0.24,0.32,,0.44,0.31,0.61,0.4,
a_1,0.09,0.07,0.07,0.08,0.08,11.1,0.3,0.29,0.32,0.38,0.43,0.42,,0.48,0.53,0.5
h_1,0.32,0.47,0.3,0.32,0.31,0.31,13.82,1.1,0.98,1.44,1.59,1.25,1.53,,1.52,2.17
d_0,0.41,0.38,,0.72,0.34,0.37,1.31,12.48,2.04,1.62,2.52,1.51,1.95,2.97,1.62,2.45
g_1,0.22,0.19,0.47,0.24,0.23,,1.19,1.3,18.46,1.74,1.5,2.12,1.33,2.88,1.73,
c_0,0.33,0.45,0.39,,0.32,0.35,1.66,1.79,1.62,13.18,3.32,2.32,1.5,2.94,1.82,3.3
b_0,0.38,0.47,0.37,0.33,,,2.1,2.52,1.57,1.81,14.81,2.19,2.99,2.46,1.47,2.01
f_0,0.27,,0.45,0.38,0.32,0.32,1.48,2.27,1.36,2.32,1.64,15.58,2.37,3.72,4.21,3.57
a_0,0.51,0.37,0.29,0.43,0.29,,1.93,1.59,1.6,1.69,,2.49,20.53,2.76,1.91,2.09
h_0,0.7,0.92,0.5,0.49,0.5,0.65,,3.52,2.51,2.56,2.35,2.61,2.47,,2.16,6.94
e_0,,0.33,0.55,0.37,0.5,0.6,1.14,1.72,1.32,1.83,2.08,1.9,2.07,3.5,21.31,3.4
g_0,0.59,0.36,0.86,0.63,0.73,0.43,1.84,2.0,,2.59,3.22,5.96,,4.38,2.8,
