,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,1.35,1.67,1.82,3.3,18.34,29.92,38.97,37.92,45.69,43.83,72.87,102.43,108.3,139.23
f_1,1.29,1.0,1.29,1.38,1.53,3.06,14.64,28.2,28.45,31.0,37.45,39.94,61.16,85.62,72.31,120.92
d_1,0.71,0.78,1.0,0.93,1.24,2.61,11.8,15.51,20.11,36.46,27.17,33.06,50.84,65.07,76.81,70.21
c_1,0.6,0.74,1.08,1.0,1.57,2.3,13.55,18.77,14.15,23.91,26.19,23.65,49.47,63.6,64.12,87.07
b_1,0.55,0.65,0.81,0.65,1.0,2.92,10.4,17.39,15.65,25.67,24.97,27.53,45.4,52.0,61.21,70.74
a_1,0.29,0.33,0.38,0.43,0.35,1.0,5.0,7.93,8.75,10.16,12.29,13.98,26.09,37.79,24.82,37.18
h_1,0.05,0.07,0.08,0.07,0.1,0.2,1.0,2.01,1.56,1.99,2.25,2.41,3.77,5.29,5.93,7.71
g_1,0.03,0.04,0.06,0.05,0.06,0.12,0.5,1.0,0.96,1.31,1.78,1.57,2.27,3.42,3.8,4.44
d_0,0.03,0.04,0.05,0.07,0.06,0.12,0.66,1.1,1.0,1.05,1.45,1.52,2.6,3.4,3.88,5.09
c_0,0.03,0.03,0.03,0.04,0.04,0.1,0.49,0.73,0.95,1.0,1.08,1.76,2.03,3.05,3.31,3.63
f_0,0.02,0.03,0.04,0.04,0.04,0.08,0.42,0.59,0.7,0.91,1.0,1.08,1.82,2.3,3.97,2.51
b_0,0.02,0.03,0.03,0.04,0.03,0.07,0.4,0.65,0.64,0.57,1.04,1.0,1.77,3.43,2.48,3.26
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.26,0.42,0.36,0.46,0.53,0.55,1.0,1.14,1.39,1.96
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.19,0.29,0.28,0.34,0.47,0.32,0.86,1.0,1.16,1.43
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.17,0.28,0.25,0.32,0.26,0.41,0.66,0.87,1.0,1.14
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.23,0.21,0.28,0.39,0.3,0.51,0.68,0.88,0.99
