,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.06,1.35,2.4,2.27,1.95,1.92,0.82,0.78,0.78,0.6,0.58,0.7,0.58,0.46,0.62,0.44
f_1,2.26,1.06,2.26,2.12,1.96,1.75,0.59,0.82,0.65,0.7,0.63,0.87,0.55,0.37,0.47,0.55
c_1,1.92,2.06,1.06,2.34,2.68,1.95,1.0,0.84,0.43,0.62,0.78,0.64,0.58,0.49,0.55,0.51
d_1,2.35,2.46,2.32,1.06,2.27,1.84,0.84,0.59,1.21,0.66,0.7,0.63,0.55,0.46,0.58,0.32
b_1,2.82,2.73,1.53,2.36,1.06,2.74,0.88,0.93,0.67,1.17,0.91,0.62,0.59,0.64,0.68,0.66
a_1,2.81,3.56,3.23,3.01,1.66,1.07,1.57,1.41,1.05,1.13,0.89,1.03,1.42,0.8,0.93,0.73
h_1,5.95,7.47,5.06,4.85,5.26,3.53,1.31,2.09,1.71,1.6,1.66,1.48,1.58,1.56,1.5,1.47
g_1,7.3,6.64,5.95,6.28,6.29,4.63,1.94,1.32,1.99,1.92,1.81,2.03,1.71,1.11,1.69,1.9
d_0,4.27,6.33,7.87,7.45,7.1,5.68,2.57,2.74,1.51,2.23,1.67,2.1,1.76,1.76,1.89,1.51
b_0,6.75,6.59,8.02,5.39,9.4,5.31,2.58,2.3,1.94,1.43,1.3,1.89,2.07,1.61,1.62,1.23
c_0,7.5,7.03,11.93,4.31,6.5,6.73,2.62,2.51,3.05,2.12,1.49,2.09,1.77,1.73,1.86,1.5
f_0,7.91,11.49,6.4,7.02,8.04,7.55,3.09,1.93,2.3,2.15,2.16,1.44,2.08,1.81,2.15,1.12
a_0,9.58,10.0,8.72,9.45,11.88,9.96,3.32,3.84,3.01,1.67,2.27,2.36,1.56,2.14,1.93,2.03
h_0,9.59,9.93,9.14,9.81,8.19,7.22,4.2,3.84,2.56,2.55,2.61,2.54,2.16,2.59,2.01,2.22
e_0,13.29,12.41,9.82,8.31,9.74,8.11,3.21,2.79,2.94,3.22,2.84,1.68,2.93,2.69,1.57,2.1
g_0,11.1,11.0,9.71,12.12,8.75,8.83,3.13,4.46,3.57,3.28,3.07,3.41,2.39,2.07,2.41,2.54
