,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.46,2.29,1.6,1.61,1.62,1.43,2.8,3.2,3.79,3.52,3.63,3.25,4.15,3.32,2.73,4.34
e_1,1.55,2.49,2.11,1.51,1.69,1.63,3.29,3.56,5.62,3.53,3.91,3.89,4.55,3.65,3.35,5.01
c_1,1.62,1.41,2.57,1.88,2.45,1.8,3.15,3.27,3.06,2.59,2.77,3.51,4.44,3.47,4.1,4.71
d_1,1.8,1.72,1.42,2.59,1.69,1.66,3.32,2.8,3.02,5.49,4.29,3.75,4.6,4.49,3.98,4.19
b_1,1.74,1.62,1.54,1.59,2.76,2.72,3.24,3.37,3.47,3.91,3.2,3.7,4.31,3.6,4.01,4.38
a_1,1.87,1.73,1.72,1.9,1.46,3.34,3.75,3.17,3.67,3.76,4.06,3.45,4.51,3.31,3.69,3.87
h_1,2.05,1.66,1.78,1.82,1.72,1.47,4.31,4.03,3.65,3.73,3.69,3.52,4.22,3.79,4.15,5.96
g_1,1.67,1.45,1.75,2.4,1.63,1.74,3.02,4.74,3.39,3.8,3.7,5.12,4.5,4.31,4.97,4.54
d_0,1.63,1.41,2.68,1.62,1.93,1.67,3.12,3.5,4.45,2.72,3.52,3.7,5.1,3.54,3.97,5.44
c_0,1.96,1.83,1.66,1.62,1.44,1.91,3.53,3.46,4.05,4.54,5.71,3.81,5.04,4.75,4.37,4.45
b_0,1.94,1.82,1.97,1.76,1.44,1.55,3.49,3.48,3.73,3.41,4.79,3.88,5.24,5.98,3.85,5.09
f_0,1.66,1.45,1.94,1.73,1.71,1.93,3.96,3.2,4.21,3.83,3.67,4.99,4.91,3.7,6.83,4.76
h_0,2.05,1.72,1.79,1.82,1.75,1.65,2.71,4.04,3.34,3.53,3.52,4.07,4.3,4.0,3.5,5.5
a_0,1.86,1.85,1.78,1.75,1.91,1.71,3.48,2.85,3.16,3.72,3.55,3.75,4.67,5.31,3.4,4.68
e_0,2.08,1.56,1.7,1.69,1.93,1.82,3.33,3.52,3.81,3.29,3.86,3.66,5.67,4.0,5.54,5.07
g_0,1.66,1.54,1.75,2.23,1.79,1.78,3.03,3.4,3.12,3.92,3.61,4.84,4.65,3.89,4.26,4.36
