,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.14,0.86,1.05,0.86,0.66,0.39,0.47,0.51,0.41,0.32,,0.32,0.31,0.3,0.33
e_1,0.88,1.0,0.83,0.86,0.81,0.71,0.43,0.75,0.38,0.4,0.35,0.4,0.35,0.24,0.41,
d_1,1.16,1.21,1.0,0.8,0.97,0.66,0.53,,0.3,0.66,0.38,0.33,0.29,0.43,0.26,0.33
c_1,0.96,1.16,1.25,1.0,1.23,0.7,0.44,0.3,0.61,,0.38,0.46,0.39,0.4,0.29,0.29
b_1,1.17,1.24,1.03,0.81,1.0,1.5,0.57,0.55,0.48,0.5,,0.4,0.31,0.28,0.35,0.27
a_1,1.52,1.42,1.52,1.44,0.67,1.0,,0.58,,0.42,0.65,0.52,0.59,,0.36,
h_1,2.57,2.35,1.9,2.25,1.75,,1.0,0.78,1.06,0.78,0.82,0.68,,0.64,0.68,0.75
d_0,2.11,1.33,,3.36,1.83,1.72,1.28,1.0,1.25,0.95,0.94,1.13,0.69,0.6,0.9,0.85
g_1,1.94,2.66,3.36,1.64,2.07,,0.94,0.8,1.0,0.93,1.04,1.29,0.82,0.76,,0.68
c_0,2.44,2.48,1.5,,2.0,2.38,1.29,1.05,1.07,1.0,1.22,0.93,0.9,0.77,0.84,0.59
b_0,3.08,2.85,2.6,2.62,,1.55,1.21,1.07,0.96,0.82,1.0,0.75,0.88,1.2,0.56,0.68
f_0,,2.49,3.03,2.18,2.49,1.93,1.47,0.89,0.77,1.07,1.34,1.0,0.96,0.83,0.58,1.07
h_0,3.08,2.83,3.47,2.56,3.27,1.7,,1.46,1.21,1.11,1.13,1.04,,0.9,0.94,0.88
a_0,3.23,4.12,2.31,2.49,3.52,,1.57,1.68,1.32,1.29,0.84,1.2,1.11,1.0,1.22,
g_0,3.3,2.43,3.9,3.49,2.86,2.74,1.48,1.11,,1.19,1.78,1.72,1.06,0.82,,
e_0,3.03,,3.01,3.39,3.72,,1.34,1.17,1.46,1.68,1.48,0.94,1.14,,,1.0
