,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.41,0.99,1.08,0.91,0.88,0.83,0.22,0.17,0.2,0.18,0.31,0.18,0.11,0.16,0.16,0.09
f_1,0.92,0.41,0.86,0.99,0.89,0.82,0.21,0.29,0.2,0.19,0.21,0.23,0.12,0.18,0.19,0.15
e_1,0.96,0.59,0.41,1.03,0.9,0.85,0.28,0.33,0.22,0.2,0.21,0.27,0.16,0.2,0.31,0.16
c_1,1.24,1.05,0.75,0.4,0.95,0.92,0.3,0.31,0.25,0.2,0.12,0.18,0.15,0.21,0.19,0.13
b_1,1.08,1.15,1.03,0.62,0.38,1.16,0.32,0.32,0.31,0.29,0.19,0.22,0.17,0.22,0.21,0.15
a_1,1.27,1.26,1.28,1.13,0.65,0.33,0.36,0.36,0.28,0.35,0.31,0.25,0.19,0.36,0.28,0.18
h_1,1.74,1.74,1.68,1.69,1.81,1.44,0.29,0.51,0.36,0.33,0.35,0.36,0.29,0.32,0.33,0.23
g_1,1.73,2.18,1.81,1.84,1.93,1.76,0.42,0.27,0.37,0.35,0.38,0.34,0.21,0.35,0.32,0.3
c_0,1.17,2.32,1.98,2.6,1.94,1.87,0.55,0.44,0.3,0.43,0.49,0.4,0.28,0.42,0.38,0.27
b_0,1.57,2.19,2.27,2.56,2.45,1.68,0.52,0.52,0.26,0.28,0.43,0.35,0.29,0.35,0.36,0.28
d_0,2.49,1.86,1.29,2.21,2.67,1.86,0.76,0.74,0.44,0.4,0.3,0.46,0.32,0.42,0.52,0.34
f_0,2.11,2.97,2.3,2.1,2.11,2.02,0.61,0.4,0.42,0.41,0.42,0.27,0.28,0.41,0.49,0.2
h_0,2.02,2.6,2.33,2.59,2.37,1.91,0.86,0.58,0.43,0.48,0.5,0.44,0.42,0.43,0.42,0.34
a_0,2.22,2.52,2.49,2.57,2.53,2.27,0.64,0.72,0.42,0.3,0.52,0.51,0.36,0.27,0.45,0.35
e_0,2.27,3.51,3.24,2.61,2.31,2.42,0.68,0.54,0.47,0.44,0.47,0.25,0.29,0.48,0.25,0.28
g_0,2.55,3.02,2.88,2.58,2.45,2.59,0.55,0.95,0.52,0.59,0.61,0.52,0.3,0.46,0.46,0.46
