,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,1.2,0.88,0.98,0.87,0.76,0.95,0.67,0.73,0.68,0.75,0.61,0.61,0.69,0.63
f_1,1.33,1.0,0.95,1.04,0.83,0.79,0.6,0.64,0.61,0.75,0.63,0.55,0.5,0.6,0.43,0.6
c_1,0.83,1.06,1.0,1.05,1.36,0.84,0.68,0.49,0.55,0.6,0.49,0.59,0.56,0.56,0.55,0.58
d_1,1.15,0.97,0.94,1.0,1.02,0.81,0.7,0.65,0.82,0.53,0.7,0.63,0.59,0.51,0.58,0.47
b_1,1.04,1.23,0.76,1.0,1.0,1.5,0.8,0.67,0.93,0.76,0.68,0.64,0.65,0.51,0.59,0.58
a_1,1.13,1.26,1.16,1.19,0.68,1.0,0.98,0.81,0.69,0.82,0.8,0.79,0.75,0.66,0.74,0.69
h_1,1.33,1.68,1.5,1.39,1.19,1.02,1.0,0.92,0.87,1.17,0.87,0.83,0.85,0.8,0.78,0.9
d_0,1.09,1.52,2.04,1.49,1.51,1.22,1.07,1.0,0.86,1.05,0.92,0.95,1.0,0.8,0.92,0.97
c_0,1.45,1.68,1.76,1.22,1.1,1.41,1.1,1.19,1.0,1.01,1.3,0.9,1.05,1.06,0.89,0.88
g_1,1.37,1.34,1.59,1.87,1.31,1.23,0.88,0.96,0.98,1.0,0.95,1.14,0.79,0.73,0.83,0.82
b_0,1.45,1.6,2.13,1.4,1.45,1.13,1.15,1.08,0.73,1.07,1.0,0.93,0.98,1.34,0.86,0.95
f_0,1.34,1.87,1.64,1.56,1.59,1.3,1.21,1.04,1.08,0.85,1.05,1.0,1.08,0.94,1.28,0.73
h_0,1.57,1.95,1.73,1.71,1.55,1.31,1.13,1.04,0.98,1.28,1.03,0.97,1.0,0.9,0.91,1.14
a_0,1.57,1.77,1.67,2.03,1.94,1.58,1.28,1.13,1.0,1.3,0.76,1.05,1.12,1.0,1.0,0.93
e_0,1.48,2.23,1.78,1.79,1.66,1.38,1.26,1.1,1.08,1.17,1.2,0.78,1.03,1.09,1.0,0.95
g_0,1.54,1.68,1.65,2.13,1.73,1.48,1.1,1.02,1.09,1.27,1.03,1.36,0.88,1.08,1.09,1.0
