,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.8,2.42,1.15,1.26,1.0,1.0,5.46,4.22,6.35,5.77,6.45,2.17,8.03,5.93,3.17,10.52
e_1,1.53,5.87,1.02,1.71,1.11,1.18,4.15,4.23,10.34,5.02,7.29,7.18,9.33,7.13,3.57,7.67
d_1,1.35,1.1,6.44,0.89,1.27,1.49,5.09,4.88,2.62,12.18,7.18,6.94,9.92,6.57,7.99,9.66
c_1,1.02,1.21,1.06,6.48,2.71,1.33,4.67,3.91,6.79,1.79,3.42,6.04,8.31,3.57,6.05,8.94
b_1,1.41,0.97,1.42,1.17,7.49,2.56,4.39,5.33,4.85,5.99,2.44,6.05,9.72,7.33,8.21,8.66
a_1,1.5,1.23,1.62,1.47,1.09,11.12,4.67,4.79,5.47,5.85,5.88,4.46,9.92,3.5,4.79,7.8
h_1,2.3,1.64,1.57,1.44,1.52,1.06,15.53,7.15,7.39,4.69,7.24,6.4,8.4,8.32,8.76,16.72
g_1,1.41,1.37,2.49,1.69,1.36,1.36,4.98,18.76,5.7,7.28,7.65,12.51,12.67,6.65,10.39,7.38
d_0,1.78,1.68,0.59,2.96,1.58,1.32,5.73,6.34,15.29,5.09,7.16,8.04,10.61,6.81,8.35,11.52
c_0,1.94,1.35,1.94,0.96,1.08,1.35,5.69,7.23,7.02,17.88,16.13,8.4,14.09,9.19,11.24,13.7
b_0,1.56,1.57,1.77,1.74,0.89,1.05,5.96,6.21,8.37,8.8,19.65,9.29,13.32,18.69,8.95,13.19
f_0,0.96,1.24,1.94,1.48,1.77,1.69,6.01,5.05,7.55,8.73,8.4,21.17,13.32,10.0,23.03,13.78
h_0,1.95,1.35,2.13,1.73,1.42,1.58,3.77,8.07,7.02,6.86,7.74,8.43,5.85,7.78,9.6,16.26
a_0,1.72,1.28,2.21,1.54,1.65,0.68,5.88,7.08,6.28,7.23,7.83,9.87,13.69,23.12,9.71,11.82
e_0,1.8,0.73,2.01,2.0,1.66,1.3,7.24,5.34,7.86,6.76,8.08,7.54,13.92,9.02,25.62,12.91
g_0,1.43,1.74,2.72,1.52,1.18,1.37,5.25,5.97,6.04,7.81,7.78,12.4,10.9,8.91,9.68,5.05
