,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.91,0.37,0.27,0.39,0.24,0.15,0.28,0.21,0.52,0.27,0.26,0.23,0.28,0.18,0.24,0.11
f_1,0.58,0.91,0.28,0.28,0.22,0.16,0.25,0.22,0.29,0.23,0.26,0.13,0.27,0.16,0.18,0.11
d_1,0.34,0.37,0.91,0.26,0.21,0.18,0.32,0.24,0.2,0.48,0.3,0.26,0.3,0.18,0.24,0.16
c_1,0.31,0.31,0.28,0.91,0.48,0.14,0.27,0.24,0.29,0.16,0.16,0.24,0.26,0.17,0.18,0.15
b_1,0.32,0.38,0.31,0.26,0.89,0.35,0.26,0.22,0.23,0.27,0.14,0.23,0.29,0.13,0.19,0.15
a_1,0.35,0.34,0.36,0.27,0.27,0.89,0.3,0.22,0.3,0.31,0.22,0.27,0.34,0.11,0.25,0.18
h_1,0.36,0.49,0.34,0.33,0.29,0.14,0.62,0.36,0.31,0.25,0.29,0.24,0.24,0.22,0.31,0.16
g_1,0.33,0.34,0.51,0.31,0.25,0.18,0.33,0.62,0.23,0.25,0.28,0.4,0.31,0.19,0.21,0.21
d_0,0.35,0.36,0.22,0.6,0.32,0.16,0.3,0.23,0.5,0.23,0.24,0.25,0.36,0.19,0.23,0.19
c_0,0.4,0.44,0.33,0.29,0.21,0.2,0.32,0.28,0.36,0.5,0.53,0.26,0.33,0.21,0.27,0.21
b_0,0.41,0.41,0.36,0.39,0.17,0.12,0.37,0.32,0.34,0.3,0.51,0.3,0.3,0.41,0.28,0.2
f_0,0.34,0.28,0.36,0.38,0.28,0.2,0.35,0.31,0.32,0.31,0.3,0.52,0.37,0.23,0.32,0.35
h_0,0.39,0.53,0.35,0.31,0.27,0.18,0.23,0.35,0.25,0.29,0.28,0.25,0.21,0.19,0.37,0.17
a_0,0.38,0.41,0.39,0.4,0.24,0.11,0.34,0.27,0.34,0.33,0.31,0.3,0.37,0.45,0.27,0.18
g_0,0.37,0.39,0.5,0.31,0.22,0.2,0.29,0.23,0.24,0.29,0.31,0.39,0.31,0.23,0.22,0.19
e_0,0.24,0.38,0.38,0.36,0.3,0.21,0.36,0.31,0.33,0.33,0.28,0.28,0.36,0.24,0.27,0.4
