,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,93.42,21.87,15.14,18.67,25.93,58.29,1973.42,4241.29,4554.66,5395.19,6609.33,,19650.4,25620.19,34342.01,30034.86
e_1,7.96,103.27,14.83,20.41,36.78,84.98,1458.61,3256.28,6919.57,6670.75,5737.99,11020.65,15927.29,19933.52,36479.84,
d_1,10.55,8.55,130.53,14.93,24.07,69.53,1882.83,3264.4,,8328.73,5727.71,10449.32,20094.84,15763.75,27894.62,34642.58
c_1,9.16,11.06,13.69,153.76,36.17,76.08,1836.14,2981.49,3065.8,,4200.66,9644.21,15032.18,21394.31,34389.39,
b_1,8.99,8.81,10.77,13.88,215.71,64.15,2009.95,2447.85,2478.18,4637.37,,5753.56,15980.93,11579.54,34802.07,34932.83
a_1,7.16,5.64,9.8,7.84,18.66,466.6,1082.84,1806.42,1775.23,2999.86,3731.01,5763.49,13820.46,,18021.68,
h_1,5.62,5.89,6.85,8.42,8.41,27.79,3141.22,1945.93,2029.77,2615.19,2511.59,3022.69,,9641.2,27243.65,19904.26
g_1,3.43,4.97,7.29,7.67,9.7,27.9,696.13,5194.6,1591.41,1438.51,1718.83,5025.75,6220.01,,,
d_0,4.72,4.2,,13.57,14.97,30.59,774.99,1254.28,4440.46,2485.6,2905.45,4344.42,6618.76,,12575.73,19133.32
c_0,3.95,3.54,5.44,,9.3,26.34,860.98,1420.94,1466.28,5462.88,3611.22,3723.67,7559.82,8327.24,15711.65,18370.41
b_0,3.82,3.69,5.79,6.77,,25.79,841.37,1867.08,1445.93,1828.58,5930.89,3885.6,5956.56,10377.81,15780.42,15560.81
f_0,,3.31,5.29,5.58,9.21,19.34,767.95,999.39,1504.48,2020.96,1587.47,8980.51,5089.94,6660.89,12881.89,
h_0,4.03,3.96,4.92,6.48,9.97,20.27,,1257.53,1537.29,1963.47,2167.17,3552.2,,8026.36,16396.15,11232.04
a_0,2.38,2.87,3.57,4.16,8.61,,485.13,,,1148.32,1349.56,2619.04,4185.49,16571.91,12850.96,11627.91
g_0,2.78,2.97,6.78,4.49,5.68,18.97,367.08,,1376.05,1325.73,1598.62,2968.51,4310.36,4489.19,,8663.95
e_0,2.86,,3.13,,4.56,,362.7,,697.56,1136.79,1199.95,,4537.39,4561.9,9526.19,26496.78
