,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.44,0.58,0.91,0.98,0.93,0.8,0.26,0.2,0.19,0.26,0.2,0.26,0.13,0.16,0.18,0.26
f_1,0.85,0.43,0.91,0.85,0.85,0.77,0.2,0.19,0.17,0.31,0.17,0.23,0.1,0.17,0.14,0.16
d_1,1.07,1.01,0.4,0.97,0.91,0.88,0.25,0.25,0.19,0.18,0.19,0.17,0.12,0.17,0.09,0.19
c_1,0.79,1.0,1.3,0.39,1.01,0.83,0.28,0.12,0.28,0.27,0.21,0.19,0.14,0.2,0.14,0.19
b_1,1.06,1.15,1.33,0.62,0.37,1.11,0.3,0.22,0.32,0.36,0.32,0.2,0.17,0.21,0.14,0.18
a_1,1.45,1.44,1.29,1.27,0.62,0.32,0.34,0.3,0.26,0.41,0.34,0.23,0.19,0.38,0.19,0.2
h_1,1.64,1.75,1.55,1.84,1.61,1.47,0.29,0.36,0.31,0.46,0.36,0.33,0.31,0.29,0.27,0.31
d_0,1.3,1.88,2.52,2.06,2.0,1.9,0.56,0.3,0.43,0.59,0.47,0.43,0.3,0.35,0.34,0.39
c_0,2.11,2.26,1.18,2.87,2.22,1.97,0.65,0.59,0.29,0.5,0.39,0.41,0.29,0.4,0.25,0.39
g_1,2.12,2.26,1.78,2.35,2.17,1.84,0.48,0.5,0.41,0.25,0.42,0.39,0.24,0.39,0.36,0.4
b_0,1.93,2.04,1.61,2.96,2.75,1.92,0.66,0.48,0.26,0.54,0.28,0.38,0.26,0.39,0.29,0.47
f_0,2.22,2.86,1.98,2.26,2.3,2.04,0.62,0.44,0.43,0.39,0.43,0.28,0.35,0.44,0.19,0.36
h_0,2.36,2.66,2.35,2.76,2.51,2.22,0.78,0.57,0.47,0.69,0.47,0.47,0.5,0.45,0.35,0.42
a_0,2.6,2.6,2.43,2.7,3.6,3.21,0.82,0.64,0.42,0.68,0.31,0.55,0.34,0.27,0.33,0.63
g_0,2.89,2.97,2.62,2.73,2.49,2.12,0.62,0.65,0.53,0.98,0.64,0.56,0.32,0.64,0.42,0.57
e_0,3.37,3.56,2.53,2.65,2.62,2.37,0.78,0.55,0.52,0.68,0.53,0.3,0.41,0.6,0.28,0.25
