,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.39,0.73,0.53,0.78,0.64,0.62,0.83,1.77,0.92,0.84,1.1,1.06,0.82,0.94,0.44,1.02
f_1,1.11,2.55,0.67,0.59,0.51,0.5,0.82,0.77,0.84,0.93,0.9,0.36,0.96,0.97,0.66,0.77
d_1,0.65,0.66,2.81,0.49,0.58,0.57,1.0,0.43,0.97,1.78,1.08,1.03,1.06,1.03,1.26,1.08
c_1,0.61,0.61,0.63,2.82,1.19,0.67,0.9,0.85,0.73,0.35,0.68,0.93,0.86,1.01,0.88,1.1
b_1,0.52,0.68,0.76,0.68,3.2,1.25,0.82,0.9,0.86,0.77,0.33,0.96,0.71,0.9,1.15,0.77
a_1,0.69,0.72,0.56,0.8,0.65,4.61,1.0,0.74,0.88,0.89,1.08,0.98,0.42,0.89,0.93,0.79
h_1,0.84,1.17,0.83,0.75,0.74,0.61,2.65,0.98,1.17,0.98,1.1,1.02,1.23,0.72,1.12,1.48
d_0,0.71,0.78,0.45,1.6,0.75,0.78,1.0,2.11,1.17,0.77,1.27,1.19,1.19,1.24,1.04,1.0
g_1,0.67,0.59,1.31,0.83,0.74,0.69,1.2,0.97,3.36,1.31,1.16,1.78,1.31,1.22,1.31,0.91
c_0,0.81,0.87,0.98,0.6,0.48,0.65,1.29,1.19,1.28,2.26,2.41,1.27,1.45,1.24,1.32,1.34
b_0,0.77,0.95,0.82,0.89,0.48,0.61,1.33,1.18,1.33,1.15,2.43,1.3,2.56,1.21,1.24,1.25
f_0,0.53,0.5,1.01,0.96,0.85,0.8,1.32,1.17,1.19,1.19,1.37,2.58,1.45,1.26,2.73,1.42
a_0,0.94,0.77,0.82,0.91,0.81,0.56,1.3,1.13,1.09,0.97,1.04,1.24,3.17,1.26,1.3,1.07
h_0,0.8,1.11,0.91,0.78,0.69,0.6,0.63,1.07,1.53,1.13,1.08,1.18,1.16,0.81,1.18,1.73
e_0,0.43,0.86,0.98,0.8,0.81,1.03,1.16,0.97,1.21,1.38,1.39,1.34,1.27,1.45,3.06,1.3
g_0,0.7,0.71,1.35,0.79,0.92,0.59,1.09,0.91,0.67,1.0,1.12,1.96,1.15,1.23,1.44,0.77
