,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.42,0.73,0.64,0.68,0.63,0.59,0.28,0.29,0.35,0.3,0.39,0.3,0.21,0.32,0.25,0.32
e_1,0.47,0.41,0.86,0.64,0.7,0.69,0.38,0.38,0.39,0.29,0.38,0.3,0.29,0.39,0.36,0.26
c_1,0.71,0.53,0.39,0.82,0.78,0.57,0.32,0.2,0.37,0.33,0.29,0.27,0.26,0.27,0.28,0.26
d_1,0.7,0.74,0.63,0.38,0.67,0.61,0.37,0.41,0.26,0.35,0.3,0.33,0.27,0.28,0.28,0.18
b_1,0.75,0.7,0.43,0.73,0.35,0.79,0.39,0.32,0.42,0.37,0.29,0.39,0.28,0.3,0.34,0.26
a_1,0.8,0.69,0.68,0.71,0.4,0.31,0.42,0.34,0.41,0.36,0.28,0.37,0.27,0.31,0.44,0.26
h_1,0.72,0.6,0.68,0.59,0.62,0.58,0.23,0.26,0.35,0.26,0.26,0.29,0.25,0.25,0.28,0.25
d_0,0.63,0.43,0.84,0.79,0.6,0.56,0.39,0.24,0.4,0.29,0.31,0.34,0.25,0.27,0.29,0.33
g_1,0.67,0.59,0.61,0.64,0.63,0.64,0.27,0.29,0.21,0.23,0.32,0.26,0.2,0.28,0.3,0.25
c_0,0.68,0.64,0.91,0.4,0.7,0.66,0.37,0.33,0.37,0.23,0.27,0.39,0.26,0.3,0.32,0.23
f_0,0.83,0.56,0.66,0.58,0.65,0.64,0.37,0.28,0.24,0.27,0.22,0.29,0.24,0.32,0.29,0.17
b_0,0.67,0.63,0.92,0.51,0.79,0.57,0.34,0.28,0.32,0.16,0.26,0.21,0.23,0.25,0.31,0.23
h_0,0.69,0.6,0.62,0.61,0.59,0.58,0.42,0.29,0.33,0.27,0.26,0.28,0.27,0.25,0.25,0.23
e_0,0.81,0.65,0.66,0.56,0.66,0.59,0.38,0.3,0.3,0.24,0.17,0.27,0.23,0.18,0.27,0.21
a_0,0.73,0.59,0.69,0.62,0.67,0.56,0.37,0.3,0.3,0.22,0.29,0.18,0.24,0.25,0.18,0.24
g_0,0.63,0.68,0.62,0.67,0.58,0.63,0.28,0.25,0.37,0.28,0.28,0.28,0.2,0.24,0.25,0.25
