,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.67,3.86,5.75,6.3,5.36,5.5,2.46,2.57,2.85,1.71,1.95,2.28,2.07,1.6,,1.6
f_1,6.03,0.66,6.74,6.03,5.71,5.66,2.08,2.55,2.38,2.4,2.21,,1.76,1.2,1.71,1.73
c_1,6.49,4.94,0.65,6.29,5.96,5.06,3.97,2.47,1.33,2.57,,2.57,1.99,1.6,1.94,1.8
d_1,6.37,6.2,5.63,0.65,8.18,6.09,2.24,1.93,,2.25,3.3,1.96,,1.61,2.63,0.97
b_1,6.25,5.98,4.49,5.45,0.63,7.26,2.43,3.76,2.03,,2.89,1.54,2.61,1.65,2.17,2.84
a_1,5.68,7.67,8.06,6.4,4.65,0.59,3.51,3.06,2.7,3.1,2.68,2.93,,2.02,,1.69
h_1,5.83,5.78,4.13,4.84,5.3,3.68,0.61,2.28,2.22,1.36,1.53,1.89,1.98,,1.69,1.74
g_1,5.38,5.85,5.36,5.36,5.38,5.18,1.89,0.58,1.9,2.83,1.96,2.13,,1.32,1.94,
d_0,2.98,4.39,5.21,,5.33,4.18,2.22,2.49,0.69,2.58,1.41,1.59,1.43,1.46,2.54,1.63
b_0,6.32,4.68,5.32,3.74,,5.07,2.73,1.83,1.4,0.69,1.27,1.9,2.52,1.51,1.4,1.28
c_0,5.47,4.26,,2.64,3.9,5.05,2.73,2.15,2.22,1.87,0.71,1.86,1.53,1.51,2.38,1.4
f_0,6.49,,3.98,6.0,6.91,4.68,2.36,1.48,2.33,1.69,2.18,0.65,1.88,1.96,1.56,1.14
a_0,5.65,9.14,6.1,,5.97,,2.4,,2.64,1.14,1.86,2.28,0.63,1.56,,1.29
h_0,6.47,4.79,4.77,5.85,4.36,4.26,,2.03,1.45,1.82,1.49,1.73,1.35,,1.11,1.29
e_0,,8.92,7.21,4.57,6.4,,1.93,2.46,1.95,2.07,1.59,1.58,,2.1,0.62,1.85
g_0,4.18,7.47,4.87,9.16,3.25,5.24,1.65,,1.95,1.87,2.15,1.67,1.7,1.23,1.78,
