,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.37,0.65,0.77,0.88,0.74,0.71,1.52,2.66,1.99,1.44,1.95,1.83,1.89,1.72,2.2,0.68
f_1,1.17,2.41,0.76,0.77,0.65,0.74,1.49,1.79,1.53,1.55,1.37,0.77,1.87,1.49,2.09,1.23
d_1,0.72,0.83,2.42,0.66,0.78,0.71,1.33,1.14,2.6,1.56,1.85,1.78,2.31,2.0,2.1,1.72
c_1,0.72,0.76,0.73,2.58,1.13,0.97,1.46,1.58,0.55,1.21,1.26,1.93,1.9,1.66,2.21,2.07
b_1,0.87,0.91,0.63,0.83,2.84,1.05,1.31,1.53,1.46,1.18,0.63,1.79,2.12,1.55,1.69,1.76
a_1,0.81,0.68,0.93,0.63,0.81,3.47,1.74,1.75,1.51,1.28,2.07,1.49,2.32,,1.9,1.69
h_1,0.98,1.31,1.1,0.97,0.87,0.78,3.81,1.75,2.15,2.52,2.27,2.27,1.59,1.95,3.47,2.35
d_0,0.81,1.05,0.56,1.72,1.06,1.0,2.19,3.53,2.3,2.05,2.68,2.21,3.28,2.17,2.8,2.5
c_0,0.99,1.11,0.99,0.81,0.98,0.89,2.13,2.24,3.62,2.24,3.96,2.45,3.13,2.93,2.99,2.93
g_1,0.97,0.97,1.37,1.05,0.91,0.86,1.64,2.05,2.22,4.32,2.03,2.6,2.56,2.31,1.92,2.38
b_0,0.79,1.37,1.07,1.17,0.49,0.79,2.32,2.19,2.06,2.29,3.89,2.48,3.26,3.64,2.46,2.53
f_0,0.83,0.69,1.21,1.02,1.03,1.23,2.2,2.39,2.41,2.26,2.41,4.21,3.26,2.24,2.71,5.23
h_0,0.97,1.28,0.99,1.06,1.12,1.0,1.15,1.93,2.21,2.37,2.14,1.82,1.76,2.13,3.57,2.26
a_0,0.97,1.19,1.3,0.89,0.93,,2.01,2.4,2.35,1.89,2.55,2.76,2.9,4.69,2.86,2.89
g_0,0.79,1.05,1.32,0.93,1.1,1.0,1.75,2.03,1.89,1.37,2.68,3.23,2.52,1.48,,2.87
e_0,0.69,1.14,1.32,0.92,1.25,1.22,2.92,2.31,1.61,2.03,2.31,1.4,2.49,2.05,2.52,4.83
