,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.41,0.7,0.65,0.61,0.63,0.6,0.29,0.38,0.33,0.27,0.37,0.3,0.22,0.29,0.3,0.29
e_1,0.47,0.4,0.79,0.68,0.69,0.65,0.36,0.42,0.36,0.3,0.37,0.31,0.27,0.39,0.36,0.28
c_1,0.72,0.54,0.39,0.82,0.77,0.55,0.36,0.36,0.2,0.32,0.28,0.28,0.27,0.3,0.29,0.27
d_1,0.71,0.76,0.66,0.39,0.69,0.65,0.35,0.25,0.41,0.33,0.29,0.27,0.25,0.27,0.25,0.2
b_1,0.72,0.71,0.43,0.71,0.37,0.95,0.39,0.38,0.28,0.42,0.3,0.44,0.26,0.3,0.29,0.24
a_1,0.75,0.64,0.81,0.76,0.39,0.3,0.39,0.41,0.31,0.32,0.31,0.42,0.3,0.31,0.36,0.27
h_1,0.67,0.65,0.61,0.6,0.55,0.59,0.24,0.4,0.28,0.3,0.3,0.3,0.27,0.28,0.26,0.27
g_1,0.68,0.65,0.63,0.71,0.67,0.52,0.26,0.22,0.25,0.29,0.32,0.26,0.19,0.25,0.27,0.26
d_0,0.59,0.43,0.81,0.67,0.72,0.55,0.36,0.41,0.24,0.27,0.3,0.28,0.26,0.3,0.28,0.26
c_0,0.69,0.64,0.94,0.42,0.65,0.71,0.33,0.32,0.35,0.22,0.29,0.34,0.25,0.31,0.3,0.23
f_0,0.75,0.57,0.69,0.63,0.65,0.52,0.34,0.24,0.28,0.3,0.22,0.31,0.26,0.29,0.29,0.17
b_0,0.62,0.64,0.84,0.55,0.75,0.56,0.33,0.34,0.27,0.18,0.25,0.21,0.26,0.25,0.33,0.22
h_0,0.67,0.63,0.62,0.61,0.63,0.58,0.39,0.39,0.28,0.26,0.27,0.24,0.26,0.27,0.25,0.23
e_0,0.81,0.74,0.59,0.63,0.63,0.57,0.33,0.3,0.31,0.26,0.18,0.33,0.24,0.19,0.28,0.18
a_0,0.64,0.58,0.66,0.69,0.68,0.69,0.37,0.33,0.28,0.25,0.28,0.17,0.22,0.26,0.19,0.22
g_0,0.63,0.61,0.63,0.58,0.61,0.69,0.27,0.38,0.3,0.28,0.32,0.33,0.2,0.27,0.28,0.29
