,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.69,0.65,0.47,0.71,0.53,0.51,2.24,5.32,2.03,2.89,2.97,2.76,5.19,3.78,0.84,3.42
f_1,1.12,5.86,0.6,0.51,0.54,0.57,2.07,2.41,1.95,3.49,2.61,0.83,3.67,2.23,2.61,3.98
d_1,0.59,0.87,6.54,0.37,0.39,0.57,2.55,0.67,2.06,4.97,3.54,2.83,3.91,2.78,3.79,4.24
c_1,0.57,0.56,0.4,6.81,1.32,0.49,2.17,2.97,1.69,0.57,2.72,2.64,4.23,2.51,3.15,3.97
b_1,0.52,0.44,0.65,0.72,7.3,1.16,1.76,2.15,2.62,2.42,0.53,3.98,4.44,2.43,2.51,4.04
a_1,0.58,0.57,0.72,0.69,0.4,10.13,2.42,2.28,2.86,2.29,3.29,3.01,5.65,0.55,3.38,4.56
h_1,1.03,1.57,0.99,1.03,0.88,0.83,15.63,4.65,4.21,3.78,5.35,4.42,2.67,4.53,5.2,11.08
d_0,0.76,0.98,0.46,2.28,1.23,1.12,3.2,12.69,3.24,3.75,5.77,5.24,7.35,6.15,6.47,8.48
g_1,0.86,0.87,1.79,0.61,1.16,1.14,4.67,3.69,19.31,5.38,3.85,8.2,7.62,5.49,6.1,2.92
c_0,0.94,1.26,1.35,0.48,0.64,1.0,4.31,5.91,4.18,15.18,10.5,5.98,5.87,7.46,4.95,10.6
b_0,0.99,1.21,1.33,1.1,0.3,0.89,4.23,5.88,4.18,5.66,16.15,5.82,8.81,10.37,7.88,9.88
f_0,0.96,0.38,0.97,1.09,1.48,1.31,4.19,6.15,4.41,5.11,4.62,17.34,7.51,5.59,13.16,7.13
h_0,0.98,1.54,1.13,1.08,1.2,0.91,1.12,4.67,4.76,4.4,4.31,4.02,2.52,4.07,4.06,8.32
a_0,1.11,1.35,1.24,1.0,0.89,0.41,4.75,5.91,2.84,4.46,6.46,5.48,8.57,21.53,5.11,6.77
e_0,0.3,1.24,1.35,1.16,1.34,0.87,4.04,6.11,3.76,6.57,4.82,6.7,11.23,5.94,21.79,10.33
g_0,0.97,0.82,1.91,1.05,1.04,0.76,3.21,3.78,2.19,5.41,6.15,6.37,5.76,6.43,6.39,3.27
