,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.65,1.01,0.96,0.92,0.9,0.76,0.37,0.36,0.39,0.32,0.34,0.35,0.23,0.32,0.29,0.28
e_1,0.71,0.65,0.9,1.07,0.98,0.86,0.48,0.42,0.44,0.35,0.33,0.4,0.29,0.33,0.29,0.4
d_1,1.06,1.1,0.64,0.9,0.92,0.86,0.44,0.43,0.31,0.39,0.33,0.33,0.27,0.31,0.22,0.31
c_1,0.99,0.83,1.21,0.63,0.98,0.87,0.45,0.24,0.48,0.39,0.33,0.34,0.31,0.32,0.27,0.36
b_1,1.12,1.03,1.09,0.74,0.61,1.19,0.5,0.37,0.48,0.52,0.51,0.33,0.28,0.33,0.32,0.36
a_1,1.5,1.29,1.2,1.12,0.75,0.56,0.59,0.56,0.57,0.54,0.59,0.46,0.42,0.5,0.33,0.43
h_1,1.78,1.43,1.55,1.51,1.44,1.06,0.53,0.53,0.71,0.51,0.49,0.48,0.51,0.45,0.48,0.45
d_0,1.58,1.17,2.12,2.17,1.8,1.37,0.88,0.56,0.91,0.58,0.59,0.63,0.56,0.57,0.57,0.75
g_1,1.88,1.71,1.98,1.57,1.68,1.39,0.66,0.65,0.51,0.66,0.61,0.61,0.42,0.54,0.51,0.56
c_0,2.07,1.78,1.26,2.16,1.65,1.34,0.87,0.82,0.71,0.54,0.67,0.6,0.59,0.66,0.51,0.62
b_0,1.94,1.82,1.66,2.27,1.98,1.31,0.88,0.75,0.79,0.47,0.52,0.64,0.58,0.72,0.52,0.53
f_0,2.31,1.68,1.83,1.81,1.99,1.58,0.89,0.71,0.62,0.68,0.64,0.53,0.58,0.65,0.43,0.74
h_0,2.2,2.05,1.98,1.82,2.01,1.72,1.0,0.73,0.94,0.7,0.68,0.68,0.62,0.66,0.56,0.59
a_0,2.21,1.96,1.94,2.37,2.42,1.79,1.07,0.79,0.86,0.63,0.48,0.69,0.66,0.53,0.59,0.63
g_0,2.14,2.1,2.19,2.17,2.04,1.76,0.81,0.74,1.03,0.71,0.7,0.85,0.56,0.72,0.69,0.75
e_0,2.56,2.32,2.06,2.11,1.94,1.81,1.02,0.73,0.91,0.74,0.71,0.46,0.66,0.8,0.55,0.5
