,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,1.97,3.75,3.29,3.91,2.28,1.27,1.18,1.07,1.05,0.93,1.07,0.72,0.78,1.66,0.7
f_1,4.07,1.07,3.09,3.23,3.44,2.85,0.87,1.07,1.3,0.84,0.94,1.97,0.72,0.66,0.68,0.75
c_1,2.83,3.96,1.07,3.6,3.62,3.55,1.32,0.61,1.34,2.01,0.84,0.99,0.72,0.98,0.74,0.7
d_1,4.33,3.74,3.72,1.07,3.38,3.14,1.47,2.55,0.87,1.17,0.96,0.92,0.71,1.07,0.86,0.51
b_1,3.82,4.66,2.53,3.83,1.07,4.01,1.45,1.19,1.55,1.45,3.43,1.18,1.09,1.21,1.14,1.09
a_1,6.53,4.57,5.74,6.74,2.89,1.07,2.41,1.92,2.3,1.62,1.85,1.49,1.29,,1.24,1.04
h_1,7.43,10.07,6.61,7.63,8.04,5.1,1.38,2.56,3.71,2.0,2.24,2.14,3.03,2.21,2.18,1.74
d_0,5.14,9.44,12.01,17.17,8.58,6.9,3.06,1.6,4.27,2.28,2.72,2.03,1.91,2.21,2.31,2.29
g_1,9.46,9.88,8.48,8.84,7.94,7.17,2.39,2.49,1.38,2.75,2.86,2.49,1.62,2.16,2.25,4.44
c_0,8.23,11.37,16.95,5.19,7.61,7.76,4.16,3.42,3.28,1.65,3.47,2.54,2.18,1.96,3.34,2.57
b_0,9.07,9.42,13.13,7.55,11.87,7.87,3.74,2.99,3.66,1.65,1.61,2.66,2.32,2.74,2.88,2.53
f_0,8.92,17.67,9.37,9.89,8.72,11.02,3.44,3.21,2.63,2.81,2.71,1.6,2.37,2.52,3.07,1.43
h_0,12.05,12.67,12.73,11.52,11.01,9.28,7.55,4.36,4.0,3.44,3.35,3.27,4.67,3.3,2.84,2.99
a_0,12.51,16.61,12.45,10.51,14.14,,4.33,4.03,6.48,3.21,2.33,3.45,2.64,1.65,3.36,2.36
e_0,20.29,20.66,13.99,13.41,12.54,10.71,4.74,3.49,3.96,2.93,3.8,2.12,3.47,2.91,1.63,2.38
g_0,14.31,15.02,19.47,15.25,10.95,13.47,4.98,4.16,,3.97,4.35,4.43,2.48,4.86,4.36,4.65
