,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,0.75,1.07,0.93,0.56,0.54,0.58,0.47,0.46,0.38,0.45,0.34,0.35,0.46,0.34
d_1,1.21,1.0,1.04,0.86,0.84,0.71,0.49,0.49,0.36,0.55,0.36,0.44,0.3,0.32,0.35,0.29
f_1,1.33,0.96,1.0,0.98,0.84,0.7,0.41,0.45,0.46,0.38,0.44,0.36,0.34,0.36,0.28,0.3
c_1,0.93,1.17,1.03,1.0,1.45,0.68,0.54,0.36,0.42,0.35,0.35,0.38,0.32,0.31,0.35,0.42
b_1,1.07,1.19,1.19,0.69,1.0,1.3,0.58,0.55,0.57,0.5,0.5,0.46,0.46,0.32,0.41,0.34
a_1,1.78,1.42,1.43,1.48,0.77,1.0,0.64,0.51,0.62,0.66,0.64,0.47,0.45,0.48,0.44,0.42
h_1,1.82,2.12,2.37,1.86,1.69,1.54,1.0,0.78,1.04,0.79,0.78,0.66,0.62,0.65,0.58,0.61
d_0,1.67,2.03,2.25,2.94,1.7,1.98,1.35,1.0,1.07,0.87,0.91,0.79,0.84,0.7,0.54,0.72
g_1,2.05,2.74,2.13,2.37,1.72,1.63,0.97,0.89,1.0,0.89,0.92,0.96,0.56,0.64,0.58,0.63
c_0,2.19,1.75,2.74,2.81,1.96,1.5,1.37,1.16,1.04,1.0,1.32,0.89,1.08,0.79,0.66,0.69
b_0,2.68,2.75,2.36,2.94,2.18,1.54,1.22,1.05,1.15,0.79,1.0,0.84,1.04,1.05,0.64,0.69
f_0,2.29,2.35,2.62,2.63,2.22,2.02,1.38,1.2,1.0,1.12,1.05,1.0,0.91,0.97,1.26,0.7
h_0,2.74,3.13,2.97,3.36,2.09,2.23,1.64,1.23,1.81,0.93,0.92,1.08,1.0,0.84,0.79,1.0
a_0,2.83,3.28,2.91,2.98,3.41,,1.52,1.42,1.78,1.22,0.88,1.14,1.17,1.0,0.93,0.94
e_0,2.36,3.18,3.64,3.05,2.6,2.4,1.69,1.79,1.74,1.43,1.54,0.81,1.27,1.09,1.0,1.17
g_0,2.83,3.41,3.43,2.54,2.88,2.38,1.64,1.46,1.6,1.46,1.43,1.49,1.01,1.03,0.9,1.04
