,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.17,0.77,0.66,0.95,0.73,0.66,0.16,0.23,0.16,0.17,0.13,0.32,0.14,0.08,0.15,0.14
e_1,0.44,0.16,0.8,0.76,0.98,0.84,0.25,0.3,0.18,0.17,0.17,0.2,0.22,0.14,0.58,0.12
d_1,0.8,1.03,0.16,0.79,0.66,0.69,0.18,0.14,0.14,0.44,0.15,0.13,0.12,0.1,0.14,0.06
c_1,0.79,0.66,0.9,0.15,0.71,0.76,0.23,0.2,0.4,0.09,0.17,0.14,0.15,0.12,0.13,0.12
b_1,0.96,0.7,0.86,0.38,0.14,0.93,0.25,0.3,0.22,0.18,0.4,0.16,0.17,0.14,0.22,0.13
a_1,0.71,0.84,0.71,0.91,0.5,0.1,0.34,0.29,0.15,0.17,0.23,0.16,0.46,0.12,0.18,0.11
h_1,0.68,0.58,0.51,0.74,0.73,0.56,0.06,0.21,0.11,0.11,0.13,0.11,0.11,0.16,0.11,0.08
g_1,0.7,0.71,0.56,0.86,0.69,0.54,0.13,0.05,0.12,0.14,0.13,0.1,0.12,0.05,0.11,0.16
c_0,0.71,0.68,0.33,1.59,0.63,0.47,0.15,0.24,0.06,0.18,0.12,0.12,0.12,0.09,0.15,0.1
d_0,0.64,0.33,1.43,0.65,0.6,0.57,0.18,0.23,0.14,0.06,0.15,0.13,0.13,0.1,0.12,0.12
b_0,0.65,0.52,0.48,0.99,1.27,0.62,0.18,0.15,0.07,0.14,0.06,0.12,0.12,0.08,0.12,0.08
f_0,1.09,0.58,0.47,0.76,0.56,0.61,0.18,0.1,0.11,0.14,0.1,0.05,0.11,0.1,0.12,0.06
a_0,0.67,0.58,0.5,0.66,0.82,1.1,0.19,0.18,0.1,0.13,0.06,0.12,0.04,0.1,0.12,0.08
h_0,0.67,0.59,0.54,0.63,0.52,0.55,0.29,0.17,0.12,0.14,0.11,0.11,0.11,0.15,0.12,0.1
e_0,1.03,0.99,0.51,0.69,0.51,0.46,0.16,0.13,0.13,0.16,0.13,0.05,0.11,0.07,0.04,0.07
g_0,0.67,0.61,0.58,0.64,0.56,0.49,0.12,0.33,0.13,0.13,0.12,0.13,0.13,0.07,0.1,0.15
