,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,6.09,4.35,2.49,2.9,2.67,2.36,9.05,14.31,8.9,10.96,12.99,10.01,18.81,14.52,19.21,11.41
e_1,3.08,6.12,2.25,3.77,2.77,2.72,10.34,21.22,10.16,12.41,14.27,15.12,18.52,15.05,20.07,11.04
d_1,2.75,2.84,6.58,2.37,2.68,3.05,9.95,9.67,10.55,21.79,16.54,16.13,22.42,15.37,22.42,15.98
c_1,2.72,2.61,2.82,6.8,4.87,3.28,8.95,10.81,10.91,8.5,8.7,13.88,21.52,12.9,19.14,12.61
b_1,2.63,2.5,2.71,3.37,7.82,5.79,9.59,12.29,10.05,11.79,10.14,13.45,17.84,11.18,21.31,13.23
a_1,3.0,2.73,2.76,3.01,2.64,11.43,11.38,14.66,11.74,13.96,16.62,14.23,20.36,13.42,21.12,14.52
h_1,3.68,2.9,3.15,2.97,2.97,3.0,17.82,13.09,14.23,11.95,14.25,14.48,18.06,14.59,28.78,15.71
d_0,3.07,2.75,2.26,5.03,3.56,2.58,10.98,19.08,9.86,10.07,13.11,14.6,20.6,15.15,22.97,16.34
g_1,2.95,2.86,4.38,2.72,2.79,3.09,10.04,10.93,22.59,13.2,13.38,22.81,20.56,15.58,16.49,15.5
c_0,3.36,3.28,3.38,2.54,2.31,2.76,11.41,14.92,11.44,21.07,27.65,15.71,22.42,22.71,25.75,17.2
b_0,3.26,3.17,3.48,2.87,2.17,2.33,12.57,14.87,12.0,16.24,23.95,16.58,24.36,31.44,24.28,17.35
f_0,2.63,2.49,3.22,3.14,3.73,3.09,12.04,15.1,13.05,14.27,16.5,24.09,22.55,16.02,20.44,31.25
h_0,3.68,2.85,3.08,3.12,3.31,2.83,8.05,11.61,15.33,11.77,14.14,15.03,19.68,14.82,26.26,15.05
a_0,3.21,2.8,3.24,3.44,3.21,2.64,12.59,14.61,11.87,13.37,14.85,14.71,22.66,28.04,22.84,14.58
g_0,2.61,2.79,4.01,3.22,3.15,3.54,10.06,12.31,10.27,14.07,15.47,20.44,22.53,14.96,17.2,17.9
e_0,3.32,2.29,3.48,2.93,3.35,3.22,11.91,11.96,13.69,13.43,17.59,16.48,26.3,17.59,22.47,32.77
