,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.23,0.95,1.03,0.85,0.88,0.87,1.07,0.93,1.04,0.99,1.06,0.94,0.8,0.98,1.08
e_1,0.81,1.0,0.99,1.2,1.04,0.94,1.05,1.11,0.91,1.34,1.01,1.2,1.04,1.05,1.03,1.09
d_1,1.07,1.0,1.0,0.93,1.02,0.98,1.01,0.82,1.27,0.95,1.06,0.92,0.95,1.02,0.9,0.8
c_1,0.99,0.82,1.06,1.0,1.31,1.03,1.01,1.03,0.83,0.73,0.85,0.95,0.93,0.98,0.96,1.0
b_1,1.15,0.97,0.99,0.74,1.0,1.29,1.01,1.0,1.14,0.96,1.0,0.98,1.1,1.03,1.01,1.02
a_1,1.1,1.04,1.02,0.98,0.8,1.0,1.14,1.0,1.05,1.0,1.16,0.94,1.06,1.06,1.03,1.07
h_1,1.11,0.98,1.01,0.99,0.97,0.87,1.0,1.07,0.89,0.94,0.91,1.01,1.02,0.95,1.04,1.22
g_1,0.94,0.87,1.17,0.96,1.0,0.98,0.94,1.0,0.96,0.9,0.94,1.15,0.83,0.95,1.01,0.96
c_0,1.1,1.12,0.8,1.17,0.85,0.92,1.1,1.07,1.0,1.27,1.38,1.04,1.1,1.05,1.1,1.05
d_0,0.99,0.78,1.04,1.35,1.09,0.99,1.07,1.06,0.76,1.0,0.94,0.98,1.0,1.09,1.05,1.18
b_0,0.99,0.96,0.95,1.2,0.97,0.9,1.06,1.03,0.75,1.08,1.0,0.98,1.11,1.06,1.38,1.02
f_0,0.92,0.85,1.08,1.02,1.02,1.06,1.0,0.88,0.99,1.01,0.99,1.0,1.12,1.55,1.05,0.87
h_0,1.04,1.0,1.05,1.07,0.91,0.9,0.99,1.2,0.93,0.98,0.94,0.9,1.0,0.84,0.87,1.08
e_0,1.23,0.95,0.98,1.04,1.0,0.97,1.1,0.99,0.94,0.94,0.94,0.66,1.14,1.0,1.01,0.94
a_0,1.06,0.97,1.06,1.06,0.97,0.92,0.95,0.95,0.94,0.99,0.77,1.0,1.16,0.96,1.0,1.05
g_0,0.94,0.96,1.19,1.02,1.0,0.96,0.8,1.07,0.93,0.85,1.02,1.13,0.97,1.06,0.95,1.0
