,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.09,2.57,1.51,2.35,2.46,2.54,0.72,0.78,0.58,0.53,0.59,0.63,0.39,0.46,0.62,0.4
d_1,3.08,1.08,2.77,2.29,2.27,2.14,0.66,0.47,0.68,0.49,0.51,0.46,0.32,0.48,0.4,0.26
f_1,2.58,2.29,1.09,2.42,2.42,2.26,0.52,0.73,0.52,0.5,0.48,0.61,0.26,0.5,0.44,0.35
c_1,2.11,3.34,2.73,1.1,2.77,2.33,0.76,0.77,0.34,0.69,0.57,0.52,0.36,0.48,0.5,0.37
b_1,2.87,2.99,3.2,1.73,1.11,2.8,0.96,0.89,0.61,0.77,0.86,0.67,0.43,0.55,0.64,0.44
a_1,3.95,4.23,4.32,5.06,2.41,1.12,1.2,1.36,1.09,0.84,1.05,0.97,0.79,1.17,1.0,0.62
h_1,9.31,9.32,10.36,9.57,8.56,8.97,1.55,2.97,2.29,2.0,2.08,1.88,1.83,1.68,1.8,1.27
g_1,11.27,10.06,10.36,10.74,9.44,8.21,2.19,1.54,2.06,1.96,1.95,1.91,1.22,1.65,1.96,1.69
d_0,7.43,16.02,11.47,13.34,11.88,11.14,3.52,4.23,1.83,2.6,2.78,2.19,1.78,2.36,2.16,1.73
c_0,13.27,7.7,12.17,15.9,11.37,9.84,3.34,3.06,3.98,1.78,2.53,2.62,1.82,2.32,2.38,1.63
b_0,12.04,10.5,12.13,18.63,19.0,9.89,3.42,3.5,2.92,1.46,1.75,2.54,1.78,1.97,2.31,1.84
f_0,14.89,13.02,15.93,17.89,13.7,10.79,4.09,2.74,3.2,2.59,2.76,1.83,2.05,2.37,2.63,1.28
h_0,20.17,20.19,17.66,18.74,18.52,17.04,6.11,5.32,3.65,3.77,3.87,3.59,3.34,3.17,3.02,2.34
a_0,19.94,18.44,19.7,21.56,26.06,19.88,6.2,5.72,4.45,3.31,2.45,3.77,2.75,2.14,3.73,2.51
e_0,25.39,20.93,25.62,24.22,23.56,18.61,6.06,5.21,4.77,4.12,4.24,2.32,2.91,3.87,2.14,2.2
g_0,27.15,24.55,21.04,24.98,24.75,22.53,5.45,8.51,5.95,5.02,4.87,4.96,2.55,4.16,4.03,3.57
