,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.39,0.73,0.74,0.81,0.7,0.66,1.45,1.29,2.73,1.77,1.63,1.57,2.21,2.2,0.78,2.12
f_1,1.11,2.4,0.81,0.77,0.74,0.76,1.32,1.66,1.52,1.38,1.63,0.61,1.85,1.41,1.37,2.09
d_1,0.69,0.81,2.5,0.72,0.72,0.82,1.34,1.55,0.73,2.88,1.92,1.65,2.06,1.44,1.92,1.8
c_1,0.75,0.78,0.72,2.59,1.25,0.74,1.38,1.48,1.38,0.74,1.3,1.54,2.05,1.78,1.91,1.82
b_1,0.83,0.77,0.85,0.69,2.74,1.27,1.37,1.39,1.66,1.69,0.89,1.83,2.13,1.19,1.31,1.92
a_1,0.82,0.81,0.77,0.64,0.57,3.45,1.97,1.48,1.66,1.83,1.78,2.35,2.25,0.87,1.86,1.87
h_1,0.94,1.35,1.12,0.98,1.02,0.77,4.09,2.3,1.91,2.06,2.41,2.26,1.46,1.51,2.04,3.51
g_1,0.86,0.85,1.36,0.88,1.01,1.03,1.68,4.18,2.16,2.26,2.86,3.11,2.68,2.05,2.37,2.61
d_0,0.83,1.12,0.53,1.8,1.08,0.78,2.53,1.96,3.64,1.52,2.12,2.38,2.91,2.63,2.17,2.93
c_0,1.08,1.32,0.81,0.7,0.8,0.88,2.44,2.38,2.78,3.69,3.93,2.25,3.0,2.97,2.44,3.13
b_0,1.07,1.06,1.0,1.22,0.56,1.05,2.02,1.73,2.24,1.73,3.97,2.31,3.04,3.88,2.34,3.19
f_0,0.88,0.88,1.09,1.2,1.05,0.83,1.89,1.79,2.36,2.24,2.66,4.17,3.21,2.6,4.46,2.48
h_0,0.92,1.22,1.07,1.09,1.01,1.0,1.36,1.86,2.11,1.94,2.05,2.26,1.65,2.42,2.25,4.27
a_0,0.81,1.19,1.04,1.24,1.28,,2.73,1.87,2.15,1.81,2.18,2.16,2.62,4.62,2.46,2.38
e_0,0.72,1.11,1.08,1.18,1.17,0.97,2.16,1.96,2.62,2.37,2.36,2.18,2.86,1.71,4.86,3.53
g_0,0.84,0.8,1.63,1.17,0.91,1.1,1.9,1.1,1.83,1.86,1.91,3.69,2.27,2.24,2.21,2.03
