,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.24,0.27,0.23,0.21,0.18,0.22,0.36,0.33,0.82,0.43,0.43,0.32,0.4,0.45,0.1,0.63
f_1,0.42,2.34,0.26,0.18,0.2,0.14,0.31,0.33,0.51,0.49,0.51,0.06,0.27,0.6,0.28,0.35
c_1,0.2,0.21,2.39,0.21,0.36,0.16,0.41,0.37,0.49,0.36,0.08,0.57,0.41,0.58,0.34,0.53
d_1,0.19,0.2,0.18,2.42,0.22,0.18,0.5,0.44,0.15,0.63,0.92,0.46,0.27,0.44,0.46,0.38
b_1,0.22,0.24,0.23,0.19,2.53,0.35,0.44,0.28,0.4,0.1,0.53,0.37,0.34,0.67,0.33,0.62
a_1,0.23,0.25,0.22,0.22,0.18,2.88,0.57,0.38,0.48,0.42,0.39,0.4,0.15,0.61,0.31,0.49
h_1,0.36,0.54,0.28,0.45,0.37,0.23,2.82,0.87,0.68,0.81,0.69,0.67,0.68,0.37,0.96,1.11
g_1,0.35,0.35,0.37,0.65,0.33,0.25,0.64,3.15,0.58,0.78,0.71,1.25,0.36,0.91,0.64,0.35
d_0,0.4,0.41,0.77,0.11,0.4,0.28,0.56,0.57,2.29,0.98,0.65,0.76,0.69,1.12,0.8,0.8
b_0,0.47,0.38,0.41,0.49,0.11,0.22,0.78,0.67,0.65,2.38,1.08,0.98,1.78,1.17,0.8,1.06
c_0,0.48,0.42,0.15,0.43,0.27,0.34,0.88,0.62,0.88,1.84,2.28,0.83,0.98,1.21,0.84,0.89
f_0,0.35,0.14,0.47,0.41,0.48,0.24,0.73,0.73,0.93,0.91,0.74,2.7,0.85,1.08,1.56,1.0
a_0,0.39,0.39,0.46,0.48,0.42,0.1,0.62,0.51,0.95,0.88,0.82,0.74,2.73,1.36,0.69,1.13
h_0,0.42,0.6,0.42,0.42,0.35,0.25,0.26,0.81,0.66,0.74,0.62,0.64,0.76,0.24,0.53,0.93
e_0,0.19,0.48,0.43,0.45,0.34,0.28,0.78,0.63,0.85,1.05,0.83,1.14,0.97,1.42,2.83,1.06
g_0,0.45,0.31,0.35,0.69,0.26,0.29,0.58,0.27,0.57,1.06,0.77,1.26,0.83,0.96,0.71,0.48
