,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.8,1.0,1.18,1.01,0.98,1.09,1.07,1.34,0.91,1.04,1.16,1.06,1.09,1.03,1.19
f_1,1.24,1.0,0.93,1.05,0.91,0.84,0.88,1.02,0.99,0.96,0.98,0.93,0.77,1.01,0.95,0.82
d_1,1.02,1.09,1.0,0.85,1.01,0.98,1.02,0.86,1.05,1.27,1.09,1.03,1.06,0.77,1.03,0.96
c_1,0.85,0.97,1.16,1.0,1.29,0.95,0.96,1.0,0.73,0.88,0.8,0.9,1.01,1.0,0.92,0.9
b_1,0.98,1.09,0.99,0.78,1.0,1.32,1.04,1.02,0.95,1.16,0.97,0.96,1.1,1.06,0.93,1.12
a_1,1.0,1.18,0.98,1.02,0.76,1.0,1.16,1.16,1.07,0.87,1.05,0.94,1.12,1.15,1.04,0.99
h_1,0.97,1.11,0.96,1.02,0.97,0.88,1.0,1.14,0.97,0.91,0.98,1.14,0.95,1.19,1.01,0.98
g_1,0.93,0.98,1.16,0.97,1.01,0.94,0.87,1.0,0.86,1.02,1.01,1.21,0.92,1.01,1.12,1.12
d_0,0.75,1.01,1.0,1.34,1.01,0.95,1.05,1.12,1.0,0.84,1.02,1.01,1.08,1.07,1.0,1.11
c_0,1.08,1.07,0.79,1.14,0.85,1.06,1.1,0.99,1.18,1.0,1.54,1.02,1.06,1.1,1.07,1.02
b_0,0.95,1.03,0.92,1.3,1.12,0.92,1.03,1.02,0.98,0.7,1.0,0.97,1.08,1.05,1.41,0.99
f_0,0.84,1.07,0.99,1.1,1.01,1.08,0.88,0.83,1.01,0.96,1.09,1.0,1.15,0.94,1.07,1.36
h_0,0.94,1.24,0.97,0.95,0.89,0.85,1.06,1.11,0.93,0.98,0.88,0.89,1.0,1.09,0.9,0.91
g_0,0.9,1.02,1.28,0.99,0.93,0.88,0.86,0.97,0.91,0.9,0.92,1.11,0.93,0.99,0.96,0.92
a_0,1.0,1.04,0.9,1.09,1.1,1.03,0.98,0.88,1.01,0.97,0.73,0.92,1.09,1.04,1.0,0.97
e_0,0.89,1.18,1.02,1.11,0.9,1.03,1.03,0.91,0.96,0.96,1.01,0.78,1.08,1.06,1.0,1.0
