,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,35.86,0.06,0.05,0.06,0.07,0.08,0.27,0.23,0.68,0.35,0.4,0.29,0.54,0.37,,0.66
f_1,0.14,35.95,0.07,0.08,0.06,0.06,0.33,0.25,0.36,0.28,,0.38,0.56,0.31,0.21,0.5
d_1,0.06,0.05,43.16,0.07,0.07,0.08,0.31,0.22,,0.96,0.34,0.33,0.59,0.42,0.33,0.41
c_1,0.06,0.08,0.05,44.23,0.12,0.05,0.3,0.22,0.46,,0.35,0.32,0.65,0.34,0.44,0.48
b_1,0.06,0.07,0.07,0.07,48.23,0.13,0.28,0.34,0.3,0.41,0.43,,0.57,0.29,0.32,0.6
a_1,0.07,0.08,0.05,0.04,0.05,73.21,0.22,0.24,0.27,0.5,0.35,0.36,0.81,,0.39,0.73
h_1,0.24,0.35,0.3,0.21,0.34,0.24,25.79,1.66,1.36,1.2,1.16,1.48,,1.64,1.16,2.7
g_1,0.18,0.28,0.48,0.24,0.16,0.28,1.22,32.9,1.07,1.24,2.61,1.45,1.89,1.35,1.1,
d_0,0.33,0.28,,0.62,0.49,0.28,1.45,1.27,18.47,1.26,1.5,2.39,3.19,2.03,2.67,2.09
c_0,0.3,0.41,0.26,,0.18,0.54,1.87,1.71,1.8,19.74,2.03,3.89,2.22,1.91,1.73,2.66
f_0,0.25,,0.43,0.37,0.29,,1.4,1.48,1.88,2.1,21.32,1.71,5.18,1.54,4.22,2.26
b_0,0.31,0.47,0.33,0.34,,0.24,1.86,1.33,2.27,1.49,1.25,20.1,2.91,3.98,1.5,4.09
h_0,0.54,0.65,0.52,0.5,0.71,0.48,,2.95,3.18,2.64,2.65,3.37,,2.83,3.7,5.19
a_0,0.39,0.31,0.39,,0.33,,1.59,1.17,1.57,1.7,2.85,1.71,4.29,31.04,1.91,3.32
e_0,,0.35,0.38,0.43,0.4,0.47,1.63,1.88,2.11,1.97,1.47,1.51,2.59,,30.66,4.25
g_0,0.42,0.37,0.9,0.66,0.5,0.38,1.81,,2.24,3.38,5.47,3.63,3.6,2.12,3.84,
