,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.06,1.28,2.03,2.33,2.17,2.03,0.83,0.73,0.89,0.66,0.56,0.73,0.46,0.59,0.53,0.81
f_1,2.43,1.06,1.91,2.08,2.07,1.68,0.6,0.67,0.76,0.55,0.56,0.82,0.39,0.49,0.5,0.43
d_1,2.54,2.35,1.06,2.12,1.94,1.74,0.82,1.16,0.53,0.76,0.77,0.56,0.52,0.53,0.33,0.46
c_1,1.93,2.36,2.53,1.06,2.52,1.7,0.9,0.42,0.75,0.69,0.55,0.54,0.45,0.58,0.48,0.53
b_1,2.36,2.77,2.47,1.54,1.06,2.38,1.02,0.78,0.88,0.79,0.88,0.72,0.52,0.66,0.53,0.73
a_1,2.9,4.13,3.44,3.32,1.84,1.07,1.3,1.04,1.51,0.95,1.5,1.01,0.93,1.87,0.72,0.84
h_1,5.18,6.98,5.21,5.42,5.43,4.69,1.32,1.9,2.21,1.75,1.35,1.54,1.64,1.33,1.61,1.5
d_0,4.37,5.85,7.34,7.86,6.57,5.24,2.16,1.47,2.43,1.55,1.91,1.9,1.61,1.53,1.7,1.65
g_1,6.38,7.15,7.87,7.15,6.87,5.71,2.0,2.07,1.33,1.8,1.8,1.98,1.23,1.65,1.83,1.85
c_0,6.73,7.23,4.59,11.42,6.99,5.66,2.59,2.87,2.52,1.51,2.54,2.12,1.77,1.9,1.56,1.82
b_0,7.38,8.03,6.56,9.66,9.24,5.43,3.33,2.23,2.59,1.33,1.48,2.21,1.76,2.19,1.54,1.65
f_0,7.51,11.22,7.42,8.8,6.53,6.3,2.98,2.5,1.82,2.15,2.0,1.5,1.72,1.76,1.26,2.2
h_0,9.3,10.29,8.09,9.01,9.7,6.98,4.19,2.62,3.4,2.32,2.3,2.34,2.58,1.99,2.18,2.18
a_0,9.09,10.18,9.49,11.6,12.59,9.2,3.62,3.45,3.34,2.54,1.65,2.53,2.43,1.56,2.71,2.31
g_0,10.88,11.09,10.95,10.5,10.65,8.58,2.49,3.38,4.44,3.05,3.26,2.79,2.13,2.22,2.41,2.61
e_0,13.69,18.31,10.34,9.84,9.36,8.06,3.85,3.45,3.8,3.05,3.48,1.55,2.27,2.72,2.11,1.62
