,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.9,1.52,1.21,1.72,2.98,18.05,32.42,32.64,31.28,47.42,46.41,79.23,100.07,115.47,138.97
f_1,1.14,1.0,1.19,1.04,1.36,2.75,14.15,23.28,26.46,27.37,35.36,39.37,55.86,78.33,99.24,93.18
c_1,0.65,0.86,1.0,1.15,1.7,2.34,13.83,14.15,21.42,21.61,30.17,30.74,62.29,70.51,94.79,88.28
d_1,0.79,0.96,0.87,1.0,1.16,2.01,12.98,18.46,18.89,30.7,31.64,41.11,54.81,74.83,77.27,87.23
b_1,0.59,0.71,0.6,0.86,1.0,2.6,11.36,14.39,19.49,21.87,26.54,31.21,45.84,59.59,60.25,77.86
a_1,0.34,0.37,0.42,0.49,0.4,1.0,6.33,8.54,11.05,11.52,16.89,19.66,26.83,29.04,37.68,51.97
h_1,0.05,0.07,0.07,0.08,0.09,0.15,1.0,1.29,1.88,1.67,2.23,2.41,4.22,4.79,6.24,6.3
d_0,0.03,0.04,0.07,0.05,0.07,0.12,0.78,1.0,1.22,1.0,1.62,1.63,3.35,3.78,4.4,5.12
g_1,0.03,0.04,0.05,0.05,0.05,0.09,0.53,0.85,1.0,1.11,1.57,1.54,2.19,2.81,3.73,3.99
c_0,0.03,0.04,0.05,0.03,0.04,0.08,0.59,1.0,0.91,1.0,1.32,1.87,2.28,3.4,3.19,3.99
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.44,0.57,0.6,0.73,1.0,1.16,1.94,2.2,2.23,4.24
b_0,0.02,0.03,0.03,0.02,0.03,0.06,0.41,0.58,0.65,0.54,0.81,1.0,1.53,2.7,2.1,2.75
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.24,0.32,0.46,0.44,0.51,0.65,1.0,1.3,1.62,1.66
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.27,0.34,0.3,0.43,0.38,0.77,1.0,1.09,1.3
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.22,0.27,0.31,0.44,0.45,0.57,0.87,1.0,1.15
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.2,0.25,0.26,0.24,0.36,0.61,0.74,0.85,1.01
