,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.39,1.27,0.71,0.69,0.76,0.68,1.36,1.43,1.52,1.55,1.54,0.86,2.15,1.79,1.93,1.23
e_1,0.67,2.45,0.76,0.86,0.75,0.82,1.54,1.26,1.77,2.97,1.53,1.87,2.29,1.66,2.43,1.15
d_1,0.94,0.71,2.46,0.64,0.73,0.65,1.44,1.71,2.71,0.93,1.97,1.55,2.11,1.75,1.91,1.66
c_1,0.84,0.71,0.91,2.61,1.19,0.64,1.41,1.13,0.64,1.47,1.41,1.83,1.47,1.34,2.26,1.63
b_1,0.71,0.8,0.79,0.72,2.7,1.15,1.75,1.29,1.75,1.5,0.9,1.63,2.36,1.4,1.87,1.77
a_1,0.9,0.73,0.79,0.78,0.65,3.25,1.54,1.4,1.41,1.55,2.04,1.94,2.58,0.96,2.05,2.01
h_1,1.3,0.86,1.14,1.01,0.79,0.97,3.92,2.35,2.29,2.4,2.37,1.78,1.77,2.03,3.45,2.31
g_1,0.86,0.96,1.29,1.19,0.9,0.9,1.68,4.26,2.37,1.94,2.25,3.18,2.33,2.01,1.99,2.06
c_0,1.11,0.95,0.89,0.84,1.0,1.3,1.97,2.01,3.7,2.59,3.97,2.8,2.64,2.83,2.94,2.2
d_0,1.09,0.8,0.54,1.75,1.06,1.05,1.79,2.32,1.76,3.66,2.1,2.3,2.66,2.07,2.64,2.41
b_0,1.13,0.95,0.95,1.24,0.61,0.98,1.99,2.41,1.96,2.44,3.99,2.49,2.55,3.9,3.01,3.05
f_0,0.49,0.9,1.07,1.11,1.12,1.25,2.6,1.6,2.12,2.57,2.58,4.03,2.79,2.43,2.46,4.41
h_0,1.23,0.87,1.04,1.05,0.95,0.95,1.21,2.82,2.31,2.25,2.3,2.56,1.71,2.83,3.42,1.89
a_0,0.95,1.03,1.21,1.06,1.15,0.54,2.26,2.7,2.06,2.11,2.18,2.65,2.77,4.84,2.7,1.93
g_0,0.93,0.86,1.35,1.02,0.94,1.23,1.95,1.48,2.03,2.27,2.14,3.02,2.45,2.34,1.58,3.48
e_0,1.17,0.44,1.1,1.32,0.95,0.96,2.3,2.12,2.19,2.5,2.23,2.17,3.48,2.9,1.69,4.95
