,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,1.45,1.23,1.34,1.42,1.13,0.48,0.67,0.46,0.45,0.54,0.7,0.33,0.4,0.42,0.42
e_1,0.91,0.66,1.49,1.63,1.51,1.38,0.66,0.83,0.67,0.5,0.46,0.64,0.45,0.52,0.73,0.44
d_1,1.66,1.56,0.64,1.46,1.38,1.13,0.65,0.42,0.87,0.58,0.49,0.47,0.42,0.53,0.51,0.32
c_1,1.68,1.28,1.62,0.64,1.49,1.19,0.7,0.63,0.34,0.69,0.5,0.42,0.47,0.54,0.46,0.37
b_1,1.59,1.59,1.66,0.98,0.63,2.01,0.73,0.58,0.58,0.66,1.06,0.59,0.47,0.46,0.5,0.5
a_1,2.09,1.71,2.02,1.98,0.98,0.57,1.02,1.08,0.67,0.69,0.78,0.71,0.54,0.86,0.63,0.59
h_1,2.52,2.0,2.02,2.11,2.13,1.81,0.58,0.97,0.77,0.83,0.88,0.72,0.82,0.63,0.66,0.67
g_1,2.69,2.46,2.51,2.17,2.37,2.1,0.84,0.55,0.85,0.76,0.87,0.88,0.52,0.9,0.77,0.75
d_0,2.54,1.46,3.26,2.86,2.29,2.2,1.09,1.25,0.64,0.85,0.87,0.88,0.8,0.74,0.95,0.76
c_0,2.54,2.39,1.5,4.48,2.5,2.28,1.03,1.18,1.2,0.62,1.07,0.97,0.8,0.93,0.74,0.79
b_0,2.34,2.82,1.91,3.08,3.6,2.06,1.04,1.03,1.12,0.53,0.59,0.81,0.69,0.96,0.8,0.57
f_0,4.17,2.47,2.56,3.02,2.21,2.16,1.14,0.84,0.91,0.97,0.99,0.58,0.74,0.94,1.07,0.54
h_0,2.84,2.85,2.6,2.72,2.31,2.42,1.69,1.45,1.02,0.85,1.14,0.97,1.06,0.8,0.79,0.77
a_0,3.66,2.88,2.54,2.92,3.27,3.34,1.71,1.23,1.13,0.88,0.62,0.89,0.97,0.58,0.89,0.82
e_0,3.75,4.07,2.42,2.72,3.44,2.75,1.34,1.17,1.06,1.13,1.19,0.58,0.83,0.84,0.57,0.7
g_0,3.49,2.99,2.91,3.68,3.01,2.51,1.14,1.78,1.13,0.98,1.17,1.03,0.74,0.95,1.1,1.12
