,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.64,0.15,0.07,0.09,0.09,0.06,0.29,0.34,0.2,0.27,0.38,,0.66,0.37,0.37,0.58
e_1,0.08,5.77,0.09,0.05,0.08,0.08,0.26,0.69,0.36,0.37,0.37,0.25,0.65,0.27,,0.44
c_1,0.06,0.08,6.29,0.08,0.14,0.1,0.37,0.4,0.23,,0.26,0.42,0.52,0.5,0.3,0.54
d_1,0.08,0.07,0.06,6.48,0.07,0.06,0.35,,0.31,0.78,0.35,0.36,0.67,0.42,0.37,0.56
b_1,0.06,0.08,0.08,0.06,7.22,0.14,0.38,0.45,0.25,0.33,,0.55,0.66,0.26,0.52,0.31
a_1,0.09,0.1,0.09,0.07,0.07,11.03,0.24,0.36,0.38,0.29,0.28,0.4,0.69,,,0.55
h_1,0.45,0.31,0.32,0.32,0.2,0.24,14.89,1.16,1.46,1.48,1.13,1.12,,1.3,1.79,2.91
d_0,0.43,0.39,0.62,,0.46,0.44,1.68,11.2,1.12,1.7,2.39,1.41,2.18,1.82,1.26,3.24
g_1,0.28,0.26,0.29,0.54,0.25,,0.8,1.22,18.93,1.82,1.1,2.1,1.45,1.56,1.58,
c_0,0.46,0.18,,0.3,0.29,0.41,1.34,2.58,1.4,13.19,4.46,1.76,3.38,1.98,1.51,2.21
b_0,0.37,0.37,0.34,0.35,,,1.62,1.69,1.44,2.86,15.44,1.73,3.23,2.79,2.04,2.12
f_0,,0.32,0.46,0.38,0.35,0.38,1.47,1.98,1.57,1.6,1.38,16.5,3.1,1.95,3.6,3.28
h_0,0.63,0.54,0.38,0.74,0.64,0.6,,2.97,2.64,2.69,2.45,3.54,,2.64,2.12,7.46
a_0,0.4,0.36,0.37,0.38,0.26,,1.53,2.07,1.46,1.29,1.79,1.96,3.06,20.78,3.06,2.66
e_0,0.37,,0.38,0.39,0.39,0.37,1.4,1.68,1.58,2.31,2.16,1.86,3.1,,21.11,3.78
g_0,0.52,0.52,0.69,0.84,0.67,0.55,2.05,1.76,,2.43,2.12,4.38,5.13,2.66,2.88,
