,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,3.63,0.8,0.39,0.39,0.33,0.32,0.73,0.82,0.73,0.59,0.85,0.21,0.92,0.89,0.73,0.68
e_1,0.36,3.82,0.32,0.47,0.49,0.43,0.56,0.69,1.56,0.87,0.79,0.84,0.67,0.75,0.85,0.13
d_1,0.45,0.28,4.22,0.31,0.34,0.41,0.86,0.86,0.2,1.58,1.01,1.02,1.01,0.74,0.83,0.89
c_1,0.37,0.42,0.34,4.43,0.73,0.38,0.83,0.7,0.75,0.18,0.53,1.02,0.79,0.95,0.76,0.68
b_1,0.4,0.4,0.35,0.47,5.04,0.71,0.81,0.6,0.68,0.74,0.15,0.63,1.14,0.46,0.99,0.89
a_1,0.45,0.32,0.5,0.32,0.44,6.83,0.78,0.73,0.7,0.7,0.83,0.92,1.15,0.28,0.65,0.72
h_1,1.03,0.68,0.67,0.71,0.51,0.53,5.1,1.45,1.27,1.54,1.5,1.13,0.59,1.5,2.28,1.61
g_1,0.62,0.54,1.06,0.71,0.57,0.59,1.26,6.23,1.2,1.14,1.34,2.26,1.25,1.52,0.59,1.15
d_0,0.82,0.55,0.24,1.43,0.65,0.66,1.14,0.98,3.78,1.31,1.6,1.43,1.11,0.95,1.36,2.16
c_0,0.84,0.59,0.87,0.29,0.49,0.59,1.55,1.21,1.52,4.01,3.07,1.33,1.93,1.81,2.05,2.07
b_0,0.87,0.6,0.85,0.77,0.24,0.63,1.42,1.61,1.49,1.52,4.37,1.29,1.59,2.74,1.84,1.92
f_0,0.16,0.58,1.01,0.78,0.7,0.73,1.46,1.32,1.84,2.11,1.54,5.09,1.47,1.62,2.11,3.29
h_0,0.98,0.65,0.73,0.74,0.68,0.55,0.53,1.63,1.31,1.31,1.45,1.34,0.39,1.5,1.82,1.4
a_0,0.84,0.57,0.81,0.63,0.7,0.22,1.56,1.08,1.42,1.23,1.57,1.81,1.8,6.01,1.86,2.44
g_0,0.65,0.58,1.35,0.67,0.56,0.69,0.86,0.49,1.41,1.21,1.5,2.03,1.28,1.33,0.81,1.53
e_0,1.04,0.17,0.78,0.77,0.61,0.51,1.32,1.36,1.51,1.63,1.71,1.39,1.79,2.06,1.74,6.94
