,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.42,1.11,1.02,0.85,0.97,0.82,1.96,1.93,3.74,2.84,1.69,2.12,2.93,2.02,1.89,2.65
f_1,1.01,2.43,1.76,0.98,0.89,0.84,1.97,1.54,1.75,1.97,2.29,1.36,2.33,1.75,1.27,2.07
e_1,0.86,1.12,2.42,1.33,1.0,0.82,1.9,1.76,1.97,1.95,3.72,1.96,2.78,1.7,1.41,2.24
c_1,1.09,1.03,0.93,2.52,1.76,0.89,1.93,1.69,1.51,1.57,1.95,2.18,2.4,1.77,1.72,2.38
b_1,1.12,1.08,1.04,1.03,2.66,1.59,1.83,1.57,1.99,1.6,1.6,1.95,2.71,1.59,1.82,2.58
a_1,1.09,1.2,1.08,1.08,0.87,3.01,2.08,1.89,2.22,2.52,2.21,1.86,3.04,1.69,1.92,2.51
h_1,1.28,1.49,1.08,1.05,0.97,0.91,3.49,2.32,2.04,2.24,1.77,2.11,2.28,2.01,1.79,3.45
g_1,1.65,1.08,0.93,1.01,0.97,0.81,1.92,3.74,2.69,2.35,1.81,3.35,3.22,1.87,2.35,2.16
c_0,1.24,1.19,1.1,1.02,0.79,0.87,2.13,2.1,3.38,4.16,2.53,2.47,3.49,2.81,2.18,3.09
b_0,1.18,1.27,1.16,1.2,0.85,0.73,2.39,2.09,2.22,3.51,2.55,2.51,3.14,3.54,2.28,2.73
d_0,0.74,1.1,1.06,1.94,1.27,0.76,2.19,1.89,1.68,2.06,3.39,2.42,2.66,1.94,2.09,2.48
f_0,1.3,1.03,0.83,1.26,1.13,0.96,2.12,2.16,2.47,2.85,2.27,3.71,3.44,1.97,4.05,3.08
h_0,1.36,1.3,1.03,1.16,1.03,0.79,1.74,2.62,2.32,2.45,2.19,2.5,2.38,1.95,2.46,3.4
a_0,1.33,1.16,1.1,1.23,1.11,0.67,2.24,1.94,2.26,2.45,2.33,2.54,3.5,3.75,1.87,3.25
e_0,1.43,1.21,0.82,1.32,1.11,0.8,2.27,2.21,2.38,2.84,1.96,2.15,3.56,2.5,3.96,3.51
g_0,1.65,0.99,0.99,1.16,1.05,0.85,2.31,1.64,2.26,2.34,1.83,3.15,2.78,1.83,2.11,2.16
