,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.95,0.83,0.53,0.54,0.44,0.29,0.34,0.34,0.31,0.31,0.23,0.29,0.22,0.28,0.18,0.26
e_1,0.53,0.95,0.45,0.68,0.5,0.34,0.4,0.57,0.32,0.32,0.33,0.31,0.26,0.31,0.21,0.26
d_1,0.65,0.66,0.95,0.43,0.42,0.39,0.42,0.29,0.27,0.55,0.33,0.36,0.25,0.3,0.26,0.25
c_1,0.56,0.47,0.59,0.95,0.8,0.38,0.37,0.31,0.32,0.23,0.32,0.25,0.25,0.28,0.26,0.27
b_1,0.64,0.56,0.6,0.46,0.95,0.66,0.39,0.34,0.31,0.32,0.35,0.23,0.23,0.32,0.26,0.29
a_1,0.8,0.73,0.65,0.61,0.46,0.94,0.51,0.45,0.39,0.41,0.38,0.45,0.29,0.36,0.27,0.29
h_1,1.05,0.82,0.84,0.8,0.69,0.44,0.79,0.46,0.57,0.48,0.46,0.42,0.35,0.4,0.33,0.48
d_0,0.96,0.7,0.74,1.36,0.87,0.47,0.65,0.69,0.48,0.42,0.43,0.51,0.38,0.5,0.41,0.46
g_1,0.83,0.83,1.28,0.83,0.69,0.51,0.56,0.52,0.78,0.52,0.61,0.51,0.42,0.43,0.42,0.38
c_0,1.13,0.93,0.83,0.74,0.69,0.5,0.71,0.56,0.58,0.71,0.53,0.81,0.53,0.53,0.44,0.46
f_0,0.82,0.86,0.99,0.98,0.85,0.58,0.71,0.6,0.54,0.56,0.7,0.6,0.5,0.51,0.79,0.39
b_0,1.07,0.96,0.99,0.97,0.75,0.43,0.68,0.54,0.52,0.51,0.49,0.72,0.78,0.52,0.42,0.42
a_0,1.18,1.04,1.1,0.95,0.94,0.43,0.81,0.64,0.56,0.64,0.57,0.5,0.66,0.58,0.48,0.53
h_0,1.35,0.96,1.09,1.05,0.82,0.61,0.56,0.58,0.68,0.56,0.52,0.55,0.42,0.46,0.43,0.58
e_0,1.11,0.79,1.05,1.1,1.04,0.67,0.72,0.56,0.63,0.61,0.49,0.58,0.51,0.62,0.66,0.48
g_0,0.99,0.97,1.4,1.03,0.8,0.65,0.72,0.59,0.48,0.63,0.93,0.61,0.45,0.52,0.59,0.45
