,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.73,0.97,1.26,1.09,0.96,0.98,1.11,1.38,1.05,1.16,1.04,0.98,1.12,1.2,1.09
f_1,1.36,1.0,0.88,0.91,0.95,0.82,0.93,1.08,0.93,0.95,0.99,1.02,0.9,0.91,0.9,0.93
d_1,1.03,1.13,1.0,0.93,0.91,0.93,1.03,0.8,1.23,1.22,0.95,1.15,0.99,1.05,0.95,1.04
c_1,0.8,1.1,1.08,1.0,1.32,1.06,0.98,0.91,0.73,0.67,0.93,0.82,0.98,0.92,0.96,0.9
b_1,0.92,1.05,1.1,0.77,1.0,1.37,1.01,1.05,1.02,1.06,0.83,0.87,1.22,1.02,1.01,1.06
a_1,1.04,1.2,1.07,0.96,0.73,1.0,1.08,1.25,1.02,1.13,1.11,1.04,1.04,0.91,1.01,1.02
h_1,0.98,1.09,0.98,0.99,0.98,0.88,1.0,1.09,0.92,0.97,0.92,1.0,1.0,0.8,1.13,0.89
g_1,0.92,0.9,1.2,1.1,1.0,0.81,0.92,1.0,0.88,0.89,1.3,1.05,0.87,0.99,0.91,0.85
d_0,0.72,1.11,0.82,1.4,0.96,0.99,1.1,1.1,1.0,0.87,1.05,0.89,1.02,0.95,1.03,1.02
c_0,1.02,1.02,0.81,1.31,0.93,0.8,1.03,1.18,1.11,1.0,1.16,1.41,1.11,1.06,1.03,1.13
f_0,0.81,1.09,1.04,1.06,1.14,0.89,1.04,0.77,0.97,0.88,1.0,0.95,0.94,1.6,0.78,1.04
b_0,0.97,0.95,0.89,1.2,1.09,1.02,1.02,0.97,1.11,0.7,1.06,1.0,1.12,1.08,1.12,1.36
h_0,0.97,1.13,1.05,1.01,0.86,0.94,0.97,1.14,0.91,0.86,1.08,0.87,1.0,0.91,1.24,0.92
e_0,0.9,1.22,0.99,1.09,0.89,1.1,1.15,0.98,1.15,1.01,0.63,0.86,1.11,1.0,0.88,0.85
g_0,0.88,1.07,1.12,1.08,0.98,0.95,0.84,1.18,0.94,0.95,1.24,0.93,0.8,1.1,1.0,0.93
a_0,0.95,1.07,1.04,1.07,0.94,0.93,1.13,1.21,0.93,0.9,0.94,0.76,1.12,1.13,1.11,1.0
