,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.36,0.19,0.27,0.29,0.29,0.3,0.61,0.98,0.49,0.58,0.64,0.66,0.72,0.46,0.67,
f_1,0.43,2.43,0.33,0.27,0.29,0.18,0.56,0.54,0.51,0.58,0.62,,0.89,0.67,0.63,0.48
d_1,0.31,0.26,2.47,0.24,0.28,,0.57,,0.66,1.11,0.57,0.65,0.66,0.64,0.67,0.51
c_1,0.26,0.28,0.26,2.58,0.53,0.21,0.62,0.6,0.55,,0.65,0.54,0.78,0.58,0.79,0.45
b_1,0.27,0.27,0.3,0.2,2.75,0.51,0.48,0.74,0.47,0.68,,0.74,0.52,0.63,0.62,0.87
a_1,0.25,0.36,,0.37,0.21,3.2,0.46,0.69,,0.55,0.39,0.48,0.75,,0.92,0.59
h_1,0.47,0.7,0.51,0.43,0.43,0.67,3.89,1.25,1.18,1.26,1.12,0.94,,1.16,1.95,1.59
d_0,0.53,0.67,,0.96,0.59,0.64,1.13,3.44,1.16,1.41,1.19,1.35,2.07,1.28,1.93,1.27
g_1,0.51,0.55,0.66,0.57,0.55,,0.96,1.01,4.28,1.16,1.49,1.41,1.62,1.17,,
c_0,0.6,0.8,0.44,,0.39,0.58,1.44,1.05,1.21,3.61,2.11,1.29,1.67,1.19,2.34,1.53
b_0,0.57,0.6,0.55,0.51,,0.81,1.33,1.55,0.98,1.14,3.74,1.27,2.06,2.07,1.8,1.45
f_0,0.57,,0.57,0.67,0.52,0.63,1.62,1.49,0.98,1.34,1.38,3.83,1.76,1.66,1.3,2.13
h_0,0.76,0.87,0.84,0.7,0.86,0.72,,1.38,1.91,1.67,1.65,1.81,,1.57,2.27,1.57
a_0,0.65,0.47,0.64,0.58,0.67,,1.01,1.68,1.26,1.63,1.11,1.05,2.01,4.72,1.94,
g_0,0.84,0.66,1.09,0.68,0.82,0.61,1.25,1.52,,1.11,1.73,2.73,1.9,1.37,,1.96
e_0,,0.76,0.68,1.02,0.49,0.78,0.87,1.27,,1.23,1.37,1.37,1.67,,1.38,4.74
