,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.51,0.26,0.15,0.15,0.17,0.12,0.21,0.21,0.2,0.18,0.23,,0.16,0.17,0.16,0.19
e_1,0.14,1.51,0.16,0.13,0.15,0.13,0.18,0.18,0.31,0.2,0.19,0.22,0.17,0.22,,0.22
d_1,0.2,0.14,1.55,0.12,0.15,0.14,0.19,0.34,,0.17,0.22,0.21,0.17,0.22,0.17,0.17
c_1,0.19,0.19,0.18,1.55,0.28,0.13,0.16,,0.2,0.19,0.16,0.21,0.19,0.21,0.17,0.16
b_1,0.2,0.19,0.18,0.11,1.58,0.23,0.18,0.2,0.26,0.23,,0.18,0.14,0.24,0.13,0.2
a_1,0.22,0.16,0.15,0.18,0.14,1.71,0.26,0.24,0.21,0.16,0.2,0.18,,0.22,0.2,0.23
h_1,0.44,0.45,0.29,0.41,0.31,0.25,1.63,0.55,0.49,0.43,0.44,0.5,0.43,,0.37,0.52
c_0,0.49,0.5,0.44,,0.45,0.36,0.45,1.38,0.43,0.56,0.87,0.43,0.44,0.66,0.47,0.51
d_0,0.48,0.47,,0.73,0.38,0.34,0.51,0.61,1.41,0.44,0.56,0.62,0.42,0.41,0.57,0.42
g_1,0.35,0.36,0.52,0.41,0.32,0.38,0.35,0.45,0.48,1.71,0.44,0.61,0.44,0.6,,
b_0,0.44,0.43,0.49,0.5,,0.39,0.6,0.52,0.53,0.58,1.42,0.49,0.84,0.5,0.37,0.55
f_0,,0.33,0.44,0.5,0.51,0.49,0.52,0.57,0.52,0.48,0.55,1.47,0.6,0.56,0.83,0.53
a_0,0.52,0.46,0.45,0.35,0.53,,0.73,0.65,0.66,0.55,0.39,0.36,1.56,0.76,0.59,
h_0,0.74,0.63,0.66,0.59,0.43,0.53,,0.81,0.96,0.52,0.82,0.63,0.53,,0.53,0.7
e_0,0.47,,0.45,0.46,0.62,0.36,0.76,0.56,0.39,,0.56,0.48,0.43,0.92,1.61,
g_0,0.47,0.54,0.87,0.77,0.51,0.48,0.84,0.77,0.77,,0.74,0.91,,0.63,,
