,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.65,1.22,1.13,1.05,1.04,0.89,0.43,0.32,0.43,0.52,0.41,0.34,0.32,0.24,0.34,0.31
e_1,0.99,0.65,0.74,1.27,1.07,0.93,0.58,0.56,0.39,0.5,0.42,0.43,0.33,0.34,0.4,0.5
f_1,1.03,1.21,0.65,1.1,0.97,0.9,0.41,0.46,0.35,0.39,0.37,0.44,0.24,0.32,0.34,0.31
c_1,1.39,0.94,1.07,0.63,1.25,1.0,0.56,0.55,0.47,0.26,0.34,0.34,0.32,0.34,0.33,0.39
b_1,1.21,1.21,1.29,0.75,0.62,1.34,0.52,0.54,0.54,0.49,0.56,0.48,0.39,0.38,0.35,0.41
a_1,1.51,1.38,1.49,1.46,0.74,0.57,0.66,0.64,0.56,0.56,0.7,0.58,0.48,0.37,0.76,0.46
h_1,1.76,1.48,1.86,1.75,1.88,1.57,0.55,0.85,0.64,0.59,0.63,0.61,0.61,0.55,0.65,0.56
g_1,2.09,1.77,2.01,1.75,1.98,1.58,0.63,0.53,0.71,0.68,0.67,0.65,0.46,0.63,0.64,0.65
c_0,1.33,1.81,2.17,2.97,2.0,1.54,0.83,0.86,0.56,0.93,0.8,0.66,0.62,0.53,0.74,0.7
d_0,2.15,1.26,1.95,2.35,1.95,1.62,0.93,1.19,0.64,0.58,0.67,0.7,0.59,0.59,0.69,0.75
b_0,1.71,1.73,2.15,3.02,2.34,1.36,0.9,0.85,0.47,0.8,0.55,0.64,0.61,0.54,0.98,0.66
f_0,2.08,1.83,2.41,2.43,2.12,1.71,0.93,0.78,0.85,0.83,0.81,0.56,0.73,0.44,0.74,0.79
h_0,2.11,2.21,2.49,2.12,2.05,1.79,1.13,1.1,0.76,0.81,0.74,0.69,0.77,0.7,0.64,0.65
g_0,2.36,2.19,2.58,2.48,2.38,2.49,0.85,1.16,0.85,0.89,0.82,0.95,0.53,0.73,0.79,0.77
a_0,2.32,2.17,2.54,2.73,3.27,2.6,1.02,0.94,0.71,0.85,0.5,0.78,0.86,0.67,0.53,0.8
e_0,2.55,2.51,2.95,2.24,2.31,2.12,1.02,0.93,0.87,0.82,0.88,0.54,0.74,0.62,0.87,0.53
