,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,26.19,0.36,0.29,0.28,0.26,0.34,0.82,0.66,1.74,0.21,0.95,0.78,0.84,0.86,0.99,1.0
f_1,0.32,24.47,0.7,0.34,0.33,0.43,0.63,0.66,0.62,0.61,0.73,0.14,0.66,1.01,0.48,0.63
e_1,0.28,0.38,26.12,0.42,0.32,0.26,0.79,0.63,0.8,1.79,0.86,0.85,0.81,0.6,0.24,0.71
c_1,0.31,0.25,0.3,28.19,0.75,0.29,0.87,0.61,0.13,0.74,0.8,0.84,0.83,0.95,0.91,0.89
b_1,0.31,0.33,0.33,0.37,30.66,0.7,0.55,0.86,0.61,0.8,0.14,0.82,0.57,0.93,0.83,0.9
a_1,0.4,0.4,0.27,0.36,0.34,49.17,0.7,0.8,0.97,0.63,0.55,0.71,0.16,1.02,0.66,0.71
h_1,0.86,0.87,0.49,0.49,0.57,0.54,9.55,1.83,1.32,1.26,1.7,1.67,1.76,0.59,1.75,2.02
g_1,1.19,0.47,0.66,0.55,0.61,0.51,0.89,11.87,1.15,0.9,1.41,2.12,1.3,1.14,1.9,0.4
c_0,0.67,0.88,0.61,0.24,0.61,0.59,1.55,1.57,5.55,1.56,3.4,1.87,1.77,1.6,1.58,2.03
d_0,0.17,0.65,0.61,1.84,0.43,0.8,1.05,1.1,1.11,5.69,1.44,1.61,1.19,1.56,1.77,1.83
b_0,0.65,0.78,0.45,0.68,0.23,0.58,1.75,1.34,1.49,2.12,7.34,2.45,3.3,2.07,2.01,2.09
f_0,0.94,0.23,0.63,0.64,0.78,0.62,1.31,1.43,1.8,1.46,1.73,6.59,1.68,1.74,2.83,1.81
a_0,0.54,0.89,0.64,0.72,0.74,,1.37,1.42,1.23,1.7,1.39,1.94,8.45,2.24,1.47,1.66
h_0,0.76,0.89,0.67,0.52,0.64,0.56,0.47,1.91,1.56,1.61,1.39,1.28,1.48,0.58,1.29,2.06
e_0,0.69,1.01,0.24,0.61,0.53,0.67,1.98,1.36,1.46,1.56,1.57,1.75,2.65,1.72,8.52,2.23
g_0,0.97,0.54,0.61,0.82,0.5,0.59,1.33,0.36,1.66,1.39,1.4,2.12,1.44,1.72,1.47,0.87
