,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,6.16,1.47,1.06,1.01,1.31,1.24,4.5,5.22,11.67,7.78,2.69,7.39,9.29,6.07,7.2,11.24
f_1,1.15,6.17,2.38,1.16,1.13,1.43,4.6,3.71,4.75,6.18,5.57,1.9,7.4,5.96,5.11,7.9
e_1,1.16,1.41,6.2,1.7,1.32,1.14,4.59,4.02,5.18,5.66,12.74,6.29,8.81,5.65,2.19,6.89
c_1,1.32,1.09,1.21,6.84,2.53,1.02,4.37,5.09,2.03,4.55,6.9,7.65,8.28,6.14,5.97,8.87
b_1,1.26,1.46,1.18,1.14,7.62,2.57,4.48,3.91,5.71,2.33,4.49,6.02,8.33,6.14,5.75,9.88
a_1,1.39,1.34,1.48,1.37,0.82,9.9,5.33,4.62,6.13,8.1,7.07,5.11,12.51,3.39,8.52,9.19
h_1,1.95,2.16,1.3,1.66,1.38,1.35,15.97,7.79,6.41,7.27,5.4,6.56,5.47,7.41,7.43,15.32
g_1,2.66,1.33,1.28,1.43,1.36,1.44,5.53,18.51,7.23,6.46,5.7,12.47,12.45,7.02,7.44,5.26
c_0,1.78,1.75,1.43,0.97,1.21,1.6,6.04,5.91,15.35,16.25,8.28,9.62,12.78,9.86,8.15,11.81
b_0,1.7,1.88,1.56,1.85,0.84,1.11,6.31,6.4,7.28,16.0,8.14,8.44,13.2,14.53,8.46,10.31
d_0,0.73,1.37,1.63,3.6,1.46,1.25,6.21,5.6,5.52,7.0,15.68,8.83,11.37,8.27,8.18,11.38
f_0,1.69,1.17,1.19,1.92,1.9,1.48,5.69,6.33,7.15,8.3,7.54,18.55,13.63,6.55,16.49,12.33
h_0,1.95,1.93,1.49,1.67,1.53,1.24,4.18,8.2,6.89,8.31,7.55,8.81,7.0,7.71,10.17,14.52
a_0,1.94,1.65,1.31,1.76,1.65,0.69,6.94,6.71,6.73,9.15,8.37,9.34,14.27,22.75,8.13,15.2
e_0,1.77,1.8,0.59,2.12,1.7,1.49,5.64,6.78,7.56,9.32,6.4,8.64,14.72,11.35,23.76,13.31
g_0,2.4,1.39,1.31,1.68,1.85,1.42,6.74,4.09,7.91,7.73,6.39,12.6,10.57,5.95,8.93,8.05
