,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.7,0.41,0.37,0.27,0.25,0.24,0.24,0.25,0.21,0.22,0.11,0.22,0.18,0.19,0.11
e_1,0.41,0.94,0.5,0.37,0.38,0.25,0.29,0.23,0.45,0.28,0.24,0.26,0.27,0.19,0.21,0.14
c_1,0.44,0.39,0.94,0.41,0.62,0.24,0.3,0.24,0.23,0.13,0.18,0.22,0.26,0.16,0.19,0.17
d_1,0.55,0.42,0.37,0.94,0.33,0.29,0.29,0.22,0.16,0.39,0.26,0.26,0.24,0.22,0.22,0.17
b_1,0.54,0.38,0.41,0.44,0.94,0.49,0.32,0.28,0.31,0.27,0.16,0.23,0.31,0.15,0.24,0.15
a_1,0.67,0.53,0.55,0.44,0.34,0.93,0.32,0.3,0.36,0.29,0.23,0.24,0.37,0.14,0.22,0.15
h_1,1.0,0.68,0.58,0.72,0.5,0.41,0.74,0.45,0.38,0.39,0.39,0.28,0.33,0.29,0.4,0.23
g_1,0.68,0.69,0.67,1.0,0.54,0.41,0.4,0.74,0.42,0.39,0.41,0.49,0.41,0.32,0.25,0.33
d_0,0.76,0.55,1.2,0.54,0.59,0.32,0.51,0.42,0.66,0.33,0.41,0.42,0.5,0.38,0.34,0.33
c_0,0.94,0.71,0.68,0.71,0.44,0.48,0.41,0.46,0.57,0.63,0.73,0.44,0.5,0.42,0.43,0.35
b_0,0.88,0.75,0.79,0.86,0.37,0.47,0.49,0.49,0.44,0.36,0.65,0.41,0.49,0.57,0.35,0.33
f_0,0.67,0.63,0.79,0.85,0.55,0.39,0.54,0.44,0.53,0.48,0.46,0.67,0.57,0.4,0.38,0.56
h_0,1.08,0.74,0.81,0.87,0.62,0.4,0.35,0.59,0.46,0.43,0.45,0.36,0.35,0.35,0.43,0.29
a_0,0.9,0.84,0.94,0.85,0.7,0.37,0.55,0.52,0.45,0.38,0.44,0.46,0.49,0.63,0.38,0.38
g_0,0.9,0.74,0.79,1.15,0.6,0.42,0.5,0.4,0.46,0.43,0.54,0.62,0.5,0.41,0.3,0.36
e_0,1.11,0.47,0.98,0.86,0.94,0.6,0.51,0.41,0.54,0.48,0.54,0.43,0.62,0.31,0.43,0.63
