,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.07,1.47,1.55,1.87,3.48,17.68,29.02,28.0,35.3,39.36,47.59,55.01,73.65,84.01,104.02
d_1,0.93,1.0,1.12,1.33,1.56,3.0,18.95,21.02,36.19,32.96,47.46,44.06,56.67,78.42,86.02,72.95
e_1,0.68,0.89,1.0,1.53,1.71,3.17,19.65,27.21,28.04,43.16,40.13,53.8,62.71,72.98,101.53,133.44
c_1,0.65,0.75,0.65,1.0,1.77,2.4,12.29,17.39,18.05,17.22,26.03,35.05,43.25,52.79,58.63,82.36
b_1,0.53,0.64,0.58,0.56,1.0,2.84,12.92,14.02,18.1,20.83,18.35,30.64,32.55,44.46,50.59,61.29
a_1,0.29,0.33,0.31,0.42,0.36,1.0,6.35,9.43,7.98,9.26,13.99,16.85,20.79,26.06,27.96,30.37
h_1,0.06,0.05,0.05,0.08,0.08,0.16,1.0,1.56,1.26,1.52,1.76,2.32,3.18,3.32,4.21,5.68
g_1,0.03,0.05,0.04,0.06,0.07,0.11,0.65,1.0,1.05,1.16,1.36,2.28,1.94,3.43,3.4,3.87
c_0,0.03,0.03,0.04,0.06,0.05,0.13,0.79,0.96,1.0,1.4,2.05,1.72,2.33,2.94,3.34,3.54
d_0,0.03,0.03,0.02,0.06,0.05,0.1,0.63,0.89,0.71,1.0,1.12,1.69,1.84,2.15,2.8,3.29
b_0,0.02,0.02,0.02,0.04,0.05,0.07,0.55,0.72,0.5,0.87,1.0,1.11,1.46,2.67,2.21,2.56
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.41,0.43,0.58,0.6,0.89,1.0,1.41,1.63,2.5,1.63
h_0,0.02,0.02,0.02,0.02,0.03,0.05,0.3,0.51,0.42,0.53,0.7,0.74,1.0,1.08,1.57,1.99
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.3,0.31,0.36,0.46,0.39,0.68,0.94,1.0,1.36,1.39
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.23,0.29,0.32,0.34,0.47,0.41,0.67,0.73,1.0,1.02
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.25,0.27,0.29,0.39,0.59,0.51,0.77,0.91,1.0
