,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.42,1.25,1.27,1.32,3.14,14.26,28.54,40.02,28.63,37.4,40.65,67.6,80.25,77.17,141.31
e_1,0.7,1.0,0.97,1.57,1.89,3.98,17.21,42.63,31.9,36.03,47.18,45.83,78.97,98.26,61.11,119.42
d_1,0.8,1.03,1.0,1.04,1.08,3.3,12.87,26.84,18.74,41.18,34.72,34.17,61.03,61.51,76.8,76.82
c_1,0.79,0.64,0.97,1.0,1.71,2.63,13.42,17.55,22.44,23.29,29.83,30.24,71.02,64.31,69.74,104.04
b_1,0.76,0.53,0.92,0.58,1.0,3.16,10.63,19.5,20.84,20.55,33.69,24.01,58.28,56.82,57.61,80.2
a_1,0.32,0.25,0.3,0.38,0.32,1.0,5.67,9.94,7.83,10.05,11.77,16.74,,21.95,22.65,32.57
h_1,0.07,0.06,0.07,0.08,0.09,0.17,1.0,1.6,1.98,1.72,2.34,2.37,4.52,5.26,4.58,8.18
d_0,0.04,0.02,0.04,0.06,0.06,0.1,0.62,1.0,1.09,1.11,1.45,1.44,3.05,3.35,3.02,4.81
g_1,0.03,0.03,0.05,0.04,0.05,0.13,0.5,0.95,1.0,0.83,1.36,1.62,2.38,2.65,2.94,3.98
c_0,0.04,0.03,0.03,0.04,0.05,0.11,0.58,0.87,1.23,1.0,1.35,1.76,3.41,2.97,2.69,3.85
f_0,0.03,0.02,0.03,0.03,0.03,0.08,0.46,0.72,0.72,0.71,1.0,1.1,2.01,2.32,3.1,2.25
b_0,0.03,0.02,0.03,0.03,0.05,0.05,0.42,0.66,0.63,0.57,0.95,1.0,3.1,2.4,2.2,2.97
a_0,0.02,0.01,0.02,0.01,0.02,,0.22,0.32,0.39,0.29,0.48,0.32,1.0,0.98,1.11,1.45
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.2,0.31,0.38,0.34,0.44,0.45,1.01,1.0,1.05,1.51
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.27,0.36,0.35,0.33,0.47,0.94,0.96,1.0,1.1
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.22,0.26,0.26,0.46,0.32,0.68,0.64,0.89,
