,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.95,0.49,0.38,0.33,0.37,0.28,0.26,0.24,0.46,0.31,0.17,0.26,0.24,0.18,0.2,0.21
f_1,0.39,0.94,0.66,0.38,0.32,0.32,0.26,0.23,0.23,0.25,0.24,0.1,0.21,0.19,0.16,0.19
e_1,0.42,0.4,0.94,0.5,0.38,0.26,0.3,0.24,0.26,0.25,0.44,0.25,0.25,0.2,0.12,0.18
c_1,0.48,0.4,0.39,0.94,0.64,0.25,0.27,0.28,0.15,0.21,0.23,0.27,0.24,0.2,0.18,0.21
b_1,0.45,0.51,0.42,0.32,0.94,0.6,0.3,0.24,0.3,0.16,0.22,0.23,0.25,0.21,0.19,0.22
a_1,0.52,0.49,0.55,0.5,0.25,0.94,0.38,0.3,0.32,0.39,0.35,0.24,0.38,0.19,0.28,0.24
h_1,0.8,0.85,0.58,0.66,0.52,0.4,0.75,0.51,0.4,0.39,0.31,0.33,0.25,0.3,0.29,0.39
g_1,1.01,0.65,0.62,0.59,0.55,0.45,0.42,0.75,0.45,0.37,0.34,0.54,0.41,0.3,0.29,0.21
c_0,0.65,0.81,0.68,0.56,0.49,0.5,0.5,0.42,0.67,0.77,0.47,0.46,0.46,0.41,0.33,0.35
b_0,0.74,0.83,0.73,0.82,0.45,0.37,0.52,0.48,0.39,0.65,0.46,0.41,0.47,0.5,0.33,0.32
d_0,0.5,0.66,0.63,1.23,0.63,0.41,0.56,0.46,0.38,0.42,0.63,0.44,0.43,0.35,0.36,0.36
f_0,0.77,0.78,0.62,0.78,0.73,0.52,0.51,0.43,0.46,0.48,0.44,0.64,0.5,0.3,0.6,0.34
h_0,0.91,0.96,0.74,0.77,0.66,0.42,0.48,0.59,0.47,0.5,0.46,0.45,0.36,0.34,0.41,0.46
a_0,0.92,0.83,0.69,0.8,0.71,0.33,0.61,0.54,0.46,0.48,0.5,0.52,0.56,0.64,0.35,0.5
e_0,0.83,0.95,0.48,0.96,0.73,0.51,0.52,0.54,0.53,0.56,0.41,0.38,0.54,0.49,0.63,0.42
g_0,1.11,0.8,0.75,0.84,0.78,0.54,0.57,0.46,0.57,0.54,0.44,0.64,0.44,0.3,0.4,0.34
