,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.42,3.19,1.94,3.93,4.01,3.56,2.16,2.11,1.53,1.24,1.92,1.88,2.1,,1.89,1.82
d_1,4.17,0.41,3.7,3.54,3.32,5.58,1.93,1.3,,1.9,1.51,1.27,1.54,1.95,1.49,0.82
f_1,5.01,3.36,0.41,3.77,3.73,3.04,1.36,2.32,1.89,1.66,1.28,,0.89,1.76,1.48,1.39
c_1,3.41,4.02,3.77,0.38,4.96,2.79,2.06,2.14,0.94,,1.47,1.84,1.67,1.62,1.76,1.21
b_1,3.5,3.41,3.73,2.26,0.36,4.31,1.76,1.73,1.82,2.12,,1.47,1.41,1.47,,1.79
a_1,3.72,3.02,4.75,3.91,2.55,0.31,2.19,1.77,1.35,1.73,1.62,1.83,1.23,1.66,,1.58
h_1,1.66,1.88,1.99,1.91,1.56,1.49,0.26,1.28,0.75,0.92,0.62,0.63,,1.11,0.87,0.78
g_1,1.67,1.87,1.84,1.58,1.86,1.87,0.71,0.25,0.99,0.82,1.04,1.71,0.51,0.72,0.93,
d_0,1.15,,1.47,1.59,1.36,2.32,0.89,0.8,0.29,0.9,0.64,0.62,0.64,0.81,0.63,0.67
c_0,1.77,1.02,1.71,,1.27,1.96,0.8,0.8,0.8,0.28,0.89,0.95,0.56,0.66,0.7,0.68
b_0,1.84,1.55,1.67,1.94,,1.62,1.2,0.79,0.88,0.52,0.26,0.68,0.44,0.47,0.78,0.65
f_0,1.54,1.9,,1.57,1.64,1.61,1.29,0.54,0.74,0.55,0.86,0.26,0.57,1.03,0.65,0.45
h_0,1.13,1.35,1.82,1.08,1.3,1.36,,0.87,0.55,0.49,0.73,0.5,,0.51,0.6,0.39
e_0,,1.51,2.17,1.97,2.08,1.35,0.62,0.76,0.64,0.86,1.01,0.51,0.61,0.21,,0.58
a_0,1.36,1.84,1.63,1.65,,,0.93,0.93,0.82,0.79,0.4,0.69,0.69,,0.21,0.58
g_0,1.26,1.84,1.24,1.42,1.37,1.08,0.45,,0.64,0.65,0.69,0.64,0.42,0.47,0.68,
