,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.64,0.62,1.12,0.59,0.54,0.52,0.78,0.74,0.86,0.85,0.76,0.36,0.87,0.81,0.69,0.72
d_1,0.65,2.9,0.57,0.53,0.56,0.59,0.94,0.92,1.72,0.35,1.26,0.91,0.96,1.01,1.07,0.91
e_1,0.75,0.49,2.88,0.68,0.58,0.54,0.88,0.93,0.91,1.79,1.18,0.95,0.99,0.96,0.49,1.11
c_1,0.6,0.55,0.51,3.25,1.21,0.61,0.76,0.8,0.33,0.93,0.74,1.08,0.91,0.83,1.01,1.11
b_1,0.59,0.67,0.57,0.59,3.59,1.15,0.96,0.71,0.82,1.07,0.26,1.0,0.92,1.0,0.92,0.99
a_1,0.61,0.74,0.58,0.66,0.5,4.98,0.82,1.04,0.89,0.77,1.05,1.09,1.23,0.4,0.98,0.81
h_1,0.99,0.81,0.61,0.86,0.58,0.58,3.17,1.54,0.92,0.93,0.92,1.1,0.76,0.98,1.25,1.56
g_1,0.61,1.22,0.6,0.84,0.66,0.6,1.2,3.66,0.91,0.79,0.99,1.7,1.06,1.25,1.14,0.65
c_0,0.91,0.88,0.67,0.47,0.55,0.75,1.1,1.16,2.42,0.9,2.22,1.18,1.28,1.45,1.19,1.34
d_0,0.8,0.36,0.75,1.59,0.68,0.67,1.09,0.99,0.63,2.41,1.04,1.22,1.11,1.04,1.11,1.04
b_0,0.86,0.73,0.8,0.76,0.47,0.66,1.27,1.27,1.12,1.06,2.61,1.14,1.26,2.26,1.24,1.15
f_0,0.43,0.98,0.6,0.93,0.69,0.72,1.44,1.2,1.22,0.85,1.3,2.9,1.46,1.34,2.7,1.27
h_0,1.08,0.84,0.63,0.74,0.8,0.68,0.7,1.49,0.99,1.05,1.25,1.1,0.79,1.14,1.22,1.58
a_0,0.87,0.7,0.78,0.82,0.72,0.26,1.37,0.99,1.23,1.11,1.08,1.3,1.41,3.44,1.38,1.33
e_0,0.83,0.88,0.32,0.9,0.84,0.66,1.34,1.2,1.16,1.06,1.32,1.39,1.15,0.99,3.8,1.24
g_0,0.72,1.4,0.49,0.7,0.7,0.69,1.24,0.64,1.35,0.86,1.12,1.91,1.18,1.25,1.35,0.73
