,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,28.2,34.16,45.97,29.66,38.4,6.54,7.21,9.17,5.46,8.82,,2.85,8.62,7.88,8.16
e_1,20.5,0.44,35.86,38.1,43.12,33.42,8.08,8.07,9.12,6.24,6.45,9.73,4.55,8.57,,4.18
d_1,35.64,50.17,0.43,43.5,28.44,31.75,10.25,6.23,4.28,,7.75,6.21,4.28,7.64,7.75,4.4
c_1,45.96,34.1,54.64,0.41,61.4,39.31,8.57,,8.81,3.94,6.38,8.24,4.24,6.53,4.86,6.42
b_1,31.51,48.63,44.09,17.0,0.4,52.83,13.29,7.93,8.41,8.53,,7.18,7.25,8.37,5.91,3.86
a_1,39.98,42.85,55.94,52.45,26.5,0.34,8.92,10.07,12.45,7.79,12.22,10.84,8.43,,,5.98
h_1,15.54,16.12,17.5,15.49,17.57,14.9,0.38,3.81,6.74,3.05,3.44,4.24,,3.52,3.93,2.31
c_0,18.43,14.58,7.72,,18.37,15.43,4.89,0.51,3.65,4.6,3.24,2.97,2.07,2.73,2.6,1.97
g_1,23.47,30.54,23.68,22.87,18.98,27.16,4.05,4.54,0.33,5.24,4.2,4.28,1.62,3.4,,
d_0,14.5,8.69,,20.73,16.82,13.96,5.77,3.4,9.27,0.49,3.41,2.73,1.67,3.05,2.56,1.88
b_0,20.91,17.35,14.23,15.04,,25.17,4.23,1.85,6.13,2.83,0.48,2.74,3.92,4.2,3.03,2.01
f_0,,22.02,15.03,19.1,23.93,14.01,5.79,3.42,3.51,3.69,3.24,0.44,2.77,4.94,4.52,1.23
h_0,14.63,12.24,11.4,11.19,9.67,10.76,,2.08,5.44,2.58,1.99,2.52,,1.69,,1.79
a_0,18.24,34.7,25.98,19.56,19.18,,5.16,3.53,4.86,5.03,1.75,3.17,3.29,0.42,,3.93
e_0,24.22,,22.22,26.7,18.33,,4.71,3.02,,5.11,4.78,2.2,,,0.36,
g_0,13.07,12.19,13.92,10.27,13.43,13.66,3.15,3.8,,3.51,3.55,3.31,1.7,2.77,,
