,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,1.32,1.67,1.73,4.07,22.96,28.03,41.28,35.89,37.85,65.11,79.3,82.34,92.91,146.64
f_1,1.23,1.0,1.09,1.36,1.41,3.36,14.54,26.52,27.14,29.0,33.22,49.74,56.21,53.11,77.35,122.55
d_1,0.76,0.92,1.0,0.94,1.33,2.95,16.51,17.23,26.07,35.31,33.16,47.1,55.35,57.23,88.79,94.85
c_1,0.6,0.74,1.06,1.0,1.9,2.58,15.19,18.56,15.61,19.72,22.26,38.11,50.23,47.62,68.17,95.74
b_1,0.58,0.71,0.75,0.53,1.0,2.94,11.66,17.86,16.3,16.3,19.64,39.78,30.37,49.83,61.35,92.88
a_1,0.25,0.3,0.34,0.39,0.34,1.0,6.1,8.83,7.3,9.07,11.18,13.71,29.16,22.22,28.24,47.17
h_1,0.04,0.07,0.06,0.07,0.09,0.16,1.0,1.51,1.35,1.59,1.8,3.19,3.21,3.8,4.86,8.66
g_1,0.04,0.04,0.06,0.05,0.06,0.11,0.66,1.0,1.19,1.21,1.39,2.79,2.68,3.04,3.64,4.82
d_0,0.02,0.04,0.04,0.07,0.06,0.14,0.71,0.86,1.0,0.96,1.19,1.75,2.26,2.5,3.61,4.75
c_0,0.03,0.03,0.03,0.05,0.06,0.11,0.63,0.82,1.12,1.0,1.51,1.9,2.28,2.65,3.24,3.97
b_0,0.03,0.03,0.03,0.04,0.05,0.08,0.54,0.72,0.84,0.64,1.0,1.64,2.6,2.24,2.78,3.69
f_0,0.01,0.02,0.02,0.03,0.03,0.08,0.31,0.35,0.58,0.55,0.55,1.0,1.15,1.57,2.52,1.9
a_0,0.01,0.02,0.02,0.02,0.03,0.04,0.3,0.36,0.42,0.43,0.41,0.88,1.0,1.13,1.86,2.33
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.27,0.34,0.38,0.39,0.46,0.66,0.83,1.0,1.53,2.24
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.21,0.28,0.29,0.3,0.36,0.39,0.55,0.62,1.0,1.39
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.21,0.2,0.25,0.26,0.52,0.4,0.44,0.72,1.0
