,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,10142.33,2463.8,2677.27,6436.61,7447.3,22120.84,3884116.1,4688276.84,16696646.77,9719492.71,25326652.25,20067988.58,101819767.47,51563594.44,159036740.99,300312731.89
d_1,2181.64,12681.87,3519.5,3506.51,7529.52,25492.13,4109104.81,5010489.18,3672338.66,21911357.04,22838843.61,27487457.79,106617950.21,105155382.49,174156895.58,271109727.61
f_1,4225.8,2586.65,14671.68,4673.14,5800.62,21310.4,3710207.88,3446055.87,8887465.59,10858705.54,5120780.35,21107606.81,73623600.02,60441323.93,127569921.78,273707033.52
c_1,1905.14,2637.55,2922.7,25419.5,15968.47,24679.17,3324492.78,4384687.25,9204467.6,2918895.13,19314359.47,15544568.83,100326146.33,75821880.77,121553346.2,237381759.5
b_1,1875.33,2582.1,3361.76,4113.66,46772.57,53561.9,4042227.32,4622043.38,9293218.47,11455407.18,20907584.82,8057583.06,107634416.69,98252217.12,72563654.65,285184244.07
a_1,2034.96,3013.89,3582.62,5569.26,6490.89,209253.03,4029773.54,4451860.57,7231802.28,11964630.34,18347908.17,22899327.25,99753615.03,114457325.84,48262717.99,294422689.21
h_1,2540.66,3528.88,5225.4,5300.57,10235.33,29738.1,13721414.11,7319868.66,9868863.31,14033125.09,22805664.55,21548659.41,71856515.1,138017936.95,171720817.91,562037417.76
g_1,2402.61,5111.2,3090.32,5882.29,8827.87,31523.98,4068967.8,16142924.63,10324123.37,13095302.29,39556380.26,24629444.31,108382369.67,139732102.03,141975494.78,244102478.03
d_0,2851.7,1999.06,3257.73,11206.47,9457.54,36149.1,4683433.96,5017960.58,22276672.83,9921116.22,24757295.81,18253260.47,124578895.58,140582748.26,142385617.5,448203582.54
c_0,3055.03,4388.02,4292.91,3078.2,7035.14,29731.12,4806761.59,5960464.48,9219682.26,30521579.37,26215865.18,47321858.33,137654011.22,135729983.07,217023509.31,356876816.86
f_0,2355.18,4411.25,2203.44,6565.3,9991.71,29055.41,4912436.09,5737345.49,13656074.15,13985804.7,62070510.12,22989077.82,152769983.85,260088648.49,165470500.06,477993399.06
b_0,2456.7,3878.86,4436.25,6001.1,3616.05,28628.12,5438768.53,4940491.95,12128121.8,15638672.52,26820590.79,61815075.92,150571854.59,114103407.08,428122087.46,397622827.54
h_0,2147.54,3801.71,5782.36,5631.29,9046.03,34897.7,2231574.17,8179635.02,11251782.78,14299567.38,25308103.33,28728117.3,57390059.87,121319971.01,161765796.29,464414901.55
e_0,1242.56,4211.33,3810.05,6577.03,10122.22,32998.64,5049031.89,7199002.55,14193585.96,13894987.78,28287512.9,29404125.25,158547923.63,374096170.36,187533233.4,425299310.06
a_0,2556.31,3555.62,4260.89,6948.39,9857.9,10214.79,5242764.52,5079941.32,13545655.72,11955479.07,29718172.48,30939467.24,159398717.42,133714930.17,577669335.03,370788574.22
g_0,2206.84,5644.54,3244.83,6384.34,8341.3,26217.97,5536359.33,3725290.3,11049602.31,12482330.69,41646151.29,22838212.0,156070612.33,155911608.58,184184425.66,185394287.11
