,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.16,0.88,0.89,0.72,0.74,0.73,0.21,0.56,0.15,0.14,0.16,0.12,0.11,0.14,0.14,0.06
f_1,0.64,0.17,0.71,0.91,0.82,0.58,0.16,0.18,0.17,0.26,0.16,0.4,0.09,0.15,0.15,0.13
e_1,0.89,0.41,0.16,0.85,0.89,0.85,0.27,0.19,0.17,0.33,0.2,0.19,0.14,0.17,0.28,0.16
c_1,1.07,0.73,0.68,0.15,0.7,0.75,0.21,0.08,0.29,0.23,0.14,0.14,0.12,0.16,0.17,0.13
b_1,0.85,0.97,0.79,0.4,0.13,1.15,0.23,0.17,0.19,0.2,0.45,0.15,0.12,0.2,0.14,0.12
a_1,0.72,0.86,0.86,1.23,0.41,0.1,0.21,0.14,0.16,0.24,0.19,0.24,0.1,0.38,0.2,0.13
h_1,0.54,0.59,0.7,0.61,0.61,0.58,0.06,0.14,0.11,0.2,0.12,0.13,0.17,0.11,0.12,0.11
d_0,1.32,0.6,0.31,0.67,0.58,0.63,0.22,0.07,0.14,0.21,0.16,0.17,0.1,0.13,0.14,0.12
c_0,0.32,0.66,0.69,1.35,0.81,0.66,0.18,0.17,0.07,0.2,0.12,0.1,0.09,0.12,0.1,0.11
g_1,0.62,0.68,0.62,0.69,0.64,0.58,0.15,0.15,0.13,0.05,0.12,0.12,0.06,0.13,0.12,0.13
b_0,0.46,0.65,0.62,0.88,1.16,0.62,0.19,0.12,0.07,0.17,0.06,0.12,0.08,0.11,0.15,0.08
f_0,0.54,1.16,0.65,0.6,0.65,0.57,0.18,0.16,0.1,0.1,0.12,0.05,0.09,0.14,0.11,0.06
h_0,0.63,0.59,0.57,0.63,0.71,0.5,0.29,0.12,0.12,0.16,0.11,0.12,0.16,0.11,0.1,0.09
a_0,0.47,0.67,0.6,0.58,1.09,1.25,0.18,0.11,0.09,0.23,0.07,0.12,0.08,0.04,0.11,0.1
e_0,0.54,0.96,1.04,0.56,0.57,0.68,0.14,0.15,0.12,0.15,0.13,0.05,0.08,0.11,0.04,0.07
g_0,0.59,0.72,0.55,0.6,0.77,0.57,0.14,0.11,0.12,0.22,0.12,0.13,0.06,0.13,0.09,0.1
