,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.98,0.89,0.85,0.75,0.61,0.66,0.65,0.59,0.62,0.61,0.53,0.54,0.46,0.56
e_1,0.82,1.0,1.18,0.9,1.02,0.84,0.69,0.9,0.74,0.67,0.62,0.67,0.59,0.58,0.69,0.66
c_1,1.01,0.85,1.0,1.02,1.32,0.88,0.72,0.52,0.64,0.51,0.5,0.58,0.64,0.58,0.6,0.54
d_1,1.15,1.09,0.97,1.0,0.95,0.75,0.66,0.72,0.53,0.83,0.71,0.55,0.58,0.59,0.55,0.47
b_1,1.17,0.99,0.76,1.07,1.0,1.36,0.85,0.69,0.72,0.76,0.71,0.73,0.64,0.57,0.6,0.6
a_1,1.32,1.18,1.16,1.3,0.74,1.0,0.97,0.81,0.93,0.76,0.95,0.78,0.8,0.7,0.68,0.6
h_1,1.66,1.41,1.4,1.48,1.18,1.03,1.0,0.89,1.07,0.89,0.84,0.85,0.88,0.77,0.79,0.97
d_0,1.44,1.13,2.01,1.35,1.46,1.23,1.12,1.0,1.04,0.8,0.93,0.83,0.88,0.87,0.89,0.94
g_1,1.53,1.4,1.61,1.81,1.39,1.08,0.91,0.94,1.0,0.98,0.92,1.13,0.81,0.8,0.96,0.89
c_0,1.68,1.55,1.94,1.18,1.31,1.25,1.1,1.26,1.01,1.0,1.3,0.97,1.11,1.05,0.89,0.98
b_0,1.61,1.66,1.91,1.35,1.49,1.07,1.18,1.07,1.14,0.8,1.0,1.08,1.12,1.29,0.82,0.99
f_0,1.68,1.5,1.78,1.87,1.34,1.26,1.13,1.15,0.84,1.02,0.98,1.0,1.06,0.86,1.33,0.81
h_0,1.87,1.72,1.59,1.69,1.6,1.19,1.14,1.07,1.3,0.99,0.94,0.92,1.0,0.95,0.92,1.1
a_0,1.73,1.74,1.69,1.7,1.77,1.44,1.24,1.12,1.27,0.97,0.79,1.18,1.03,1.0,1.12,0.91
e_0,2.01,1.47,1.69,1.81,1.61,1.45,1.26,1.13,0.98,1.03,1.11,0.75,1.12,0.94,1.0,1.06
g_0,1.82,1.59,1.84,2.2,1.65,1.44,1.0,1.03,1.16,1.05,1.07,1.23,0.95,1.1,1.02,1.01
